"SkinScNew","SkinScNewRC","Mean","Sex","AgeM","Generation","F","Is12Score","dps_SkinScore","altDogID","altSireID","altDamID"
1,1,1,1,192,10.55,0.07,1,1,"R7036","R5993","R5814"
3,3,1,1,192,10.55,0.07,0,7,"R7037","R5993","R5814"
2,2,1,1,192,10.55,0.07,1,7,"R7038","R5993","R5814"
2,2,1,2,192,10.55,0.07,1,7,"R7040","R5993","R5814"
3,3,1,2,192,10.81,0.09,0,7,"R7041","R5081","R5863"
2,2,1,2,192,10.81,0.09,1,7,"R7042","R5081","R5863"
1,1,1,2,192,10.81,0.09,1,1,"R7043","R5081","R5863"
2,2,1,2,192,10.81,0.09,1,5,"R7044","R5081","R5863"
3,3,1,2,192,10.81,0.09,0,7,"R7046","R5081","R5863"
5,4,1,1,192,10.81,0.09,0,15,"R7047","R5081","R5863"
3,3,1,1,192,10.81,0.09,0,7,"R7048","R5081","R5863"
1,1,1,2,191,9.62,0.04,1,1,"R7049","R2727","R5919"
1,1,1,2,191,9.62,0.04,1,1,"R7050","R2727","R5919"
1,1,1,2,191,9.62,0.04,1,1,"R7051","R2727","R5919"
3,3,1,1,191,9.62,0.04,0,7,"R7052","R2727","R5919"
2,2,1,1,191,9.62,0.04,1,7,"R7053","R2727","R5919"
5,4,1,2,191,9.62,0.04,0,11,"R7054","R2727","R5919"
3,3,1,2,191,9.62,0.04,0,7,"R7055","R2727","R5919"
5,4,1,2,191,10.97,0.07,0,15,"R7056","R5240","R5898"
1,1,1,2,191,10.97,0.07,1,1,"R7057","R5240","R5898"
2,2,1,2,191,10.97,0.07,1,7,"R7058","R5240","R5898"
2,2,1,2,191,10.97,0.07,1,5,"R7059","R5240","R5898"
3,3,1,2,191,10.97,0.07,0,7,"R7061","R5240","R5898"
1,1,1,1,191,10.97,0.07,1,1,"R7062","R5240","R5898"
2,2,1,1,191,10.97,0.07,1,7,"R7063","R5240","R5898"
3,3,1,1,191,10.97,0.07,0,5,"R7064","R5240","R5898"
2,2,1,1,191,10.97,0.07,1,7,"R7065","R5240","R5898"
5,4,1,2,191,10.97,0.07,0,15,"R7066","R5240","R5898"
1,1,1,2,191,10.61,0.08,1,1,"R7068","R5993","R3542"
2,2,1,2,191,10.61,0.08,1,5,"R7069","R5993","R3542"
3,3,1,1,191,10.61,0.08,0,7,"R7070","R5993","R3542"
2,2,1,2,191,11.03,0.06,1,7,"R7071","R5081","R5769"
2,2,1,1,191,11.03,0.06,1,7,"R7072","R5081","R5769"
5,4,1,1,191,11.03,0.06,0,15,"R7073","R5081","R5769"
3,3,1,2,191,11.03,0.06,0,7,"R7074","R5081","R5769"
2,2,1,1,191,11.03,0.06,1,7,"R7075","R5081","R5769"
2,2,1,2,191,11.03,0.06,1,7,"R7076","R5081","R5769"
2,2,1,1,191,11.03,0.06,1,7,"R7077","R5081","R5769"
1,1,1,1,191,11.03,0.06,1,1,"R7078","R5081","R5769"
2,2,1,2,191,9.45,0.05,1,7,"R7079","R2727","R5827"
2,2,1,1,191,9.45,0.05,1,7,"R7080","R2727","R5827"
2,2,1,1,191,9.45,0.05,1,7,"R7081","R2727","R5827"
3,3,1,2,191,9.45,0.05,0,7,"R7082","R2727","R5827"
3,3,1,1,191,10.87,0.09,0,7,"R7083","R5081","R5612"
1,1,1,1,191,10.87,0.09,1,1,"R7084","R5081","R5612"
5,4,1,1,191,10.87,0.09,0,15,"R7085","R5081","R5612"
2,2,1,1,191,10.87,0.09,1,7,"R7086","R5081","R5612"
3,3,1,1,191,10.87,0.09,0,7,"R7089","R5081","R5612"
5,4,1,1,191,10.87,0.09,0,11,"R7090","R5081","R5612"
3,3,1,1,191,7.09,0.00400000118998981,0,7,"R7092","R5638","R3639"
3,3,1,1,191,7.09,0.00400000118998981,0,7,"R7093","R5638","R3639"
1,1,1,1,191,7.09,0.00400000118998981,1,1,"R7094","R5638","R3639"
5,4,1,2,191,7.09,0.00400000118998981,0,15,"R7095","R5638","R3639"
3,3,1,1,191,10.75,0.11,0,7,"R7097","R5993","R3775"
3,3,1,2,191,10.75,0.11,0,7,"R7098","R5993","R3775"
1,1,1,2,191,10.75,0.11,1,1,"R7100","R5993","R3775"
5,4,1,1,191,10.75,0.11,0,15,"R7101","R5993","R3775"
5,4,1,2,191,10.75,0.11,0,15,"R7102","R5993","R3775"
3,3,1,1,191,10.75,0.11,0,7,"R7103","R5993","R3775"
2,2,1,1,191,10.75,0.11,1,7,"R7104","R5993","R3775"
2,2,1,2,191,11.21,0.08,1,7,"R7105","R5993","R5359"
1,1,1,1,191,11.21,0.08,1,1,"R7106","R5993","R5359"
2,2,1,1,191,11.21,0.08,1,7,"R7107","R5993","R5359"
3,3,1,1,191,11.21,0.08,0,5,"R7108","R5993","R5359"
2,2,1,2,191,11.21,0.08,1,7,"R7109","R5993","R5359"
5,4,1,2,191,11.21,0.08,0,15,"R7110","R5993","R5359"
2,2,1,2,191,11.21,0.08,1,7,"R7111","R5993","R5359"
1,1,1,1,191,11.21,0.08,1,1,"R7112","R5993","R5359"
2,2,1,2,191,11.21,0.08,1,7,"R7113","R5993","R5359"
1,1,1,2,191,11.21,0.08,1,1,"R7114","R5993","R5359"
2,2,1,2,191,11.21,0.08,1,7,"R7115","R5993","R5359"
2,2,1,2,191,11.21,0.08,1,7,"R7116","R5993","R5359"
1,1,1,1,191,10.84,0.09,1,1,"R7117","R5930","R5082"
2,2,1,2,191,10.84,0.09,1,7,"R7118","R5930","R5082"
2,2,1,2,191,10.84,0.09,1,7,"R7119","R5930","R5082"
5,4,1,1,191,10.84,0.09,0,15,"R7120","R5930","R5082"
2,2,1,2,191,10.84,0.09,1,5,"R7121","R5930","R5082"
3,3,1,2,191,10.84,0.09,0,7,"R7122","R5930","R5082"
2,2,1,2,191,10.84,0.09,1,15,"R7124","R5930","R5082"
5,4,1,1,191,10.79,0.08,0,11,"R7125","R5693","R5933"
5,4,1,2,191,10.79,0.08,0,15,"R7126","R5693","R5933"
1,1,1,2,191,10.79,0.08,1,1,"R7127","R5693","R5933"
2,2,1,1,191,10.79,0.08,1,7,"R7128","R5693","R5933"
3,3,1,1,191,10.79,0.08,0,7,"R7129","R5693","R5933"
4,4,1,2,191,10.79,0.08,0,11,"R7130","R5693","R5933"
3,3,1,1,191,10.79,0.08,0,7,"R7131","R5693","R5933"
5,4,1,2,191,10.79,0.08,0,15,"R7132","R5693","R5933"
3,3,1,2,190,10.55,0.06,0,7,"R7133","R5081","R4631"
3,3,1,1,190,10.55,0.06,0,7,"R7134","R5081","R4631"
1,1,1,1,190,10.55,0.06,1,1,"R7135","R5081","R4631"
3,3,1,1,190,10.55,0.06,0,7,"R7136","R5081","R4631"
5,4,1,1,190,10.55,0.06,0,7,"R7137","R5081","R4631"
1,1,1,2,190,10.79,0.11,1,1,"R7138","R5993","R5610"
2,2,1,2,190,10.79,0.11,1,5,"R7139","R5993","R5610"
2,2,1,1,190,10.79,0.11,1,5,"R7140","R5993","R5610"
2,2,1,1,190,10.79,0.11,1,7,"R7141","R5993","R5610"
1,1,1,1,190,10.79,0.11,1,1,"R7142","R5993","R5610"
5,4,1,1,190,10.79,0.11,0,7,"R7143","R5993","R5610"
1,1,1,1,190,10.79,0.11,1,1,"R7144","R5993","R5610"
3,3,1,2,190,9.63,0.09,0,7,"R7145","R5993","R3638"
2,2,1,2,190,9.63,0.09,1,7,"R7146","R5993","R3638"
1,1,1,2,190,9.63,0.09,1,1,"R7147","R5993","R3638"
1,1,1,2,190,9.63,0.09,1,1,"R7148","R5993","R3638"
2,2,1,1,190,9.63,0.09,1,7,"R7149","R5993","R3638"
2,2,1,1,190,9.63,0.09,1,7,"R7150","R5993","R3638"
5,4,1,1,192,9.07,0.1,0,15,"R15747","R5120","R15489"
2,2,1,1,190,10.84,0.09,1,7,"R7151","R5993","R4726"
2,2,1,1,190,10.84,0.09,1,7,"R7152","R5993","R4726"
1,1,1,2,190,10.84,0.09,1,1,"R7155","R5993","R4726"
5,4,1,1,190,10.84,0.09,0,15,"R7156","R5993","R4726"
1,1,1,1,190,11,0.08,1,1,"R7158","R5993","R5002"
3,3,1,2,190,11,0.08,0,7,"R7159","R5993","R5002"
2,2,1,1,190,11,0.08,1,7,"R7160","R5993","R5002"
1,1,1,1,190,11,0.08,1,1,"R7161","R5993","R5002"
5,4,1,1,190,11,0.08,0,15,"R7162","R5993","R5002"
2,2,1,1,190,11,0.08,1,5,"R7163","R5993","R5002"
1,1,1,1,190,11,0.08,1,1,"R7164","R5993","R5002"
5,4,1,1,190,11,0.08,0,15,"R7165","R5993","R5002"
1,1,1,1,190,11,0.08,1,1,"R7166","R5993","R5002"
3,3,1,2,190,11,0.08,0,7,"R7167","R5993","R5002"
3,3,1,2,190,11,0.08,0,7,"R7168","R5993","R5002"
2,2,1,1,190,10.98,0.09,1,5,"R7169","R5693","R6115"
5,4,1,2,190,10.98,0.09,0,11,"R7171","R5693","R6115"
2,2,1,1,190,10.98,0.09,1,7,"R7173","R5693","R6115"
3,3,1,1,190,10.98,0.09,0,7,"R7174","R5693","R6115"
2,2,1,2,190,10.98,0.09,1,7,"R7175","R5693","R6115"
5,4,1,1,190,10.98,0.09,0,15,"R7176","R5693","R6115"
5,4,1,1,190,10.98,0.09,0,15,"R7177","R5693","R6115"
5,4,1,1,190,10.56,0.1,0,7,"R7178","R6267","R4846"
2,2,1,1,190,10.56,0.1,1,7,"R7179","R6267","R4846"
3,3,1,1,190,10.56,0.1,0,7,"R7180","R6267","R4846"
4,4,1,2,190,10.56,0.1,0,11,"R7181","R6267","R4846"
3,3,1,1,190,10.56,0.1,0,7,"R7182","R6267","R4846"
5,4,1,2,190,10.56,0.1,0,11,"R7183","R6267","R4846"
5,4,1,2,190,10.56,0.1,0,15,"R7184","R6267","R4846"
2,2,1,2,190,10.56,0.1,1,7,"R7185","R6267","R4846"
2,2,1,2,190,10.34,0.05,1,5,"R7186","R5240","R5535"
5,4,1,1,190,10.34,0.05,0,15,"R7188","R5240","R5535"
5,4,1,1,190,10.34,0.05,0,15,"R7189","R5240","R5535"
1,1,1,1,189,10.2,0.11,1,1,"R7190","R5993","R3988"
3,3,1,1,189,10.2,0.11,0,7,"R7191","R5993","R3988"
2,2,1,2,189,10.2,0.11,1,7,"R7192","R5993","R3988"
5,4,1,1,189,10.2,0.11,0,15,"R7193","R5993","R3988"
2,2,1,1,189,10.2,0.11,1,7,"R7194","R5993","R3988"
2,2,1,1,189,10.2,0.11,1,7,"R7195","R5993","R3988"
3,3,1,2,189,10.2,0.11,0,7,"R7196","R5993","R3988"
3,3,1,1,189,10.73,0.07,0,7,"R7198","R4240","R5429"
1,1,1,2,189,10.73,0.07,1,1,"R7199","R4240","R5429"
1,1,1,1,189,10.73,0.07,1,1,"R7200","R4240","R5429"
3,3,1,1,189,10.73,0.07,0,7,"R7201","R4240","R5429"
1,1,1,2,189,10.73,0.07,1,1,"R7202","R4240","R5429"
1,1,1,2,189,10.73,0.07,1,1,"R7203","R4240","R5429"
5,4,1,1,189,10.73,0.07,0,15,"R7204","R4240","R5429"
3,3,1,1,189,10.73,0.07,0,7,"R7205","R4240","R5429"
5,4,1,1,189,10.73,0.07,0,15,"R7206","R4240","R5429"
1,1,1,1,189,9.99,0.07,1,1,"R7208","R5693","R4829"
1,1,1,1,189,9.99,0.07,1,1,"R7209","R5693","R4829"
1,1,1,1,189,9.99,0.07,1,1,"R7210","R5693","R4829"
4,4,1,2,189,9.99,0.07,0,11,"R7211","R5693","R4829"
5,4,1,1,189,10.16,0.06,0,7,"R7212","R5240","R4574"
5,4,1,2,189,10.16,0.06,0,15,"R7213","R5240","R4574"
1,1,1,1,189,10.16,0.06,1,1,"R7214","R5240","R4574"
1,1,1,1,189,10.16,0.06,1,1,"R7216","R5240","R4574"
3,3,1,1,189,10.16,0.06,0,7,"R7217","R5240","R4574"
1,1,1,2,189,11.03,0.12,1,1,"R7219","R5081","R5736"
3,3,1,2,189,11.03,0.12,0,7,"R7221","R5081","R5736"
5,4,1,1,189,11.03,0.12,0,11,"R7222","R5081","R5736"
5,4,1,2,189,11.03,0.12,0,15,"R7223","R5081","R5736"
3,3,1,2,189,11.03,0.12,0,7,"R7224","R5081","R5736"
5,4,1,2,189,11.03,0.12,0,15,"R7225","R5081","R5736"
3,3,1,2,189,11.03,0.12,0,7,"R7226","R5081","R5736"
5,4,1,2,189,11.03,0.12,0,11,"R7228","R5081","R5736"
5,4,1,2,189,10.87,0.07,0,15,"R7230","R6272","R5646"
1,1,1,2,189,10.87,0.07,1,1,"R7231","R6272","R5646"
2,2,1,1,189,10.87,0.07,1,7,"R7232","R6272","R5646"
5,4,1,1,189,10.87,0.07,0,15,"R7234","R6272","R5646"
1,1,1,2,188,10.39,0.12,1,1,"R7236","R5993","R5044"
1,1,1,2,188,10.39,0.12,1,1,"R7238","R5993","R5044"
2,2,1,2,188,10,0.05,1,7,"R7239","R5993","R2595"
1,1,1,2,188,10,0.05,1,1,"R7240","R5993","R2595"
5,4,1,1,188,10,0.05,0,15,"R7241","R5993","R2595"
2,2,1,1,188,10,0.05,1,7,"R7242","R5993","R2595"
1,1,1,2,188,10,0.05,1,1,"R7243","R5993","R2595"
2,2,1,1,188,10.34,0.08,1,7,"R7245","R5993","R3696"
1,1,1,1,188,10.34,0.08,1,1,"R7246","R5993","R3696"
1,1,1,1,188,10.34,0.08,1,1,"R7247","R5993","R3696"
1,1,1,1,188,10.34,0.08,1,1,"R7248","R5993","R3696"
2,2,1,2,188,10.34,0.08,1,5,"R7249","R5993","R3696"
3,3,1,2,188,10.34,0.08,0,7,"R7250","R5993","R3696"
3,3,1,2,188,10.34,0.08,0,7,"R7251","R5993","R3696"
1,1,1,2,188,10.34,0.08,1,1,"R7253","R5993","R3696"
5,4,1,1,188,10.34,0.08,0,15,"R7254","R5993","R3696"
3,3,1,1,188,10.58,0.05,0,7,"R7256","R5240","R5812"
3,3,1,2,188,10.58,0.05,0,7,"R7257","R5240","R5812"
1,1,1,2,188,10.58,0.05,1,1,"R7258","R5240","R5812"
1,1,1,2,188,10.58,0.05,1,1,"R7259","R5240","R5812"
5,4,1,2,188,10.58,0.05,0,15,"R7261","R5240","R5812"
1,1,1,2,188,10.58,0.05,1,1,"R7262","R5240","R5812"
3,3,1,1,188,9.98,0.04,0,7,"R7263","R6225","R4507"
4,4,1,1,188,9.98,0.04,0,11,"R7264","R6225","R4507"
3,3,1,2,188,9.98,0.04,0,7,"R7265","R6225","R4507"
2,2,1,1,188,9.98,0.04,1,7,"R7266","R6225","R4507"
2,2,1,2,188,9.98,0.04,1,7,"R7267","R6225","R4507"
1,1,1,1,188,9.98,0.04,1,1,"R7268","R6225","R4507"
1,1,1,2,188,10.98,0.15,1,1,"R7271","R5993","R6168"
2,2,1,2,188,10.98,0.15,1,7,"R7272","R5993","R6168"
5,4,1,1,188,10.98,0.15,0,15,"R7273","R5993","R6168"
2,2,1,1,188,10.98,0.15,1,5,"R7274","R5993","R6168"
3,3,1,2,188,10.98,0.15,0,7,"R7275","R5993","R6168"
5,4,1,2,188,10.98,0.15,0,15,"R7276","R5993","R6168"
2,2,1,2,188,10.98,0.15,1,7,"R7277","R5993","R6168"
2,2,1,1,188,10.54,0.07,1,7,"R7278","R5240","R5388"
2,2,1,1,188,10.54,0.07,1,7,"R7279","R5240","R5388"
2,2,1,2,188,10.54,0.07,1,7,"R7280","R5240","R5388"
1,1,1,1,188,10.54,0.07,1,1,"R7281","R5240","R5388"
5,4,1,1,188,10.54,0.07,0,7,"R7282","R5240","R5388"
5,4,1,1,188,10.54,0.07,0,15,"R7283","R5240","R5388"
5,4,1,2,188,10.54,0.07,0,15,"R7284","R5240","R5388"
3,3,1,2,188,10.54,0.07,0,7,"R7285","R5240","R5388"
3,3,1,1,187,10.54,0.07,0,7,"R7287","R5240","R5386"
1,1,1,2,187,10.54,0.07,1,1,"R7288","R5240","R5386"
2,2,1,1,187,10.54,0.07,1,7,"R7289","R5240","R5386"
1,1,1,2,187,10.54,0.07,1,1,"R7290","R5240","R5386"
3,3,1,2,187,10.54,0.07,0,7,"R7291","R5240","R5386"
1,1,1,2,187,10.54,0.07,1,1,"R7292","R5240","R5386"
3,3,1,2,187,10.54,0.07,0,7,"R7293","R5240","R5386"
2,2,1,1,187,10.54,0.07,1,5,"R7295","R5240","R5386"
4,4,1,2,187,10.54,0.07,0,7,"R7296","R5240","R5386"
3,3,1,1,187,7.95,0.01,0,7,"R7297","R15755","R6264"
2,2,1,1,187,7.95,0.01,1,7,"R7298","R15755","R6264"
3,3,1,1,187,7.95,0.01,0,7,"R7299","R15755","R6264"
2,2,1,2,187,7.95,0.01,1,7,"R7300","R15755","R6264"
2,2,1,2,187,7.95,0.01,1,7,"R7301","R15755","R6264"
3,3,1,1,187,7.95,0.01,0,5,"R7302","R15755","R6264"
2,2,1,1,187,7.95,0.01,1,7,"R7303","R15755","R6264"
5,4,1,1,187,7.95,0.01,0,15,"R7304","R15755","R6264"
5,4,1,2,187,10.91,0.09,0,15,"R7305","R6267","R4714"
2,2,1,1,187,10.91,0.09,1,5,"R7306","R6267","R4714"
2,2,1,1,187,10.91,0.09,1,7,"R7307","R6267","R4714"
5,4,1,2,187,10.91,0.09,0,15,"R7309","R6267","R4714"
5,4,1,1,187,10.91,0.09,0,15,"R7310","R6267","R4714"
3,3,1,2,187,10.91,0.09,0,7,"R7311","R6267","R4714"
1,1,1,1,187,10.6,0.11,1,1,"R7313","R6267","R4373"
2,2,1,1,187,10.6,0.11,1,5,"R7314","R6267","R4373"
2,2,1,2,187,10.6,0.11,1,7,"R7315","R6267","R4373"
3,3,1,2,187,10.6,0.11,0,7,"R7316","R6267","R4373"
1,1,1,2,187,10.6,0.11,1,1,"R7317","R6267","R4373"
3,3,1,2,187,10.6,0.11,0,7,"R7318","R6267","R4373"
2,2,1,1,186,11.06,0.08,1,7,"R7321","R5993","R5230"
1,1,1,1,186,11.06,0.08,1,1,"R7323","R5993","R5230"
4,4,1,1,186,11.06,0.08,0,7,"R7324","R5993","R5230"
1,1,1,1,186,11.06,0.08,1,1,"R7325","R5993","R5230"
5,4,1,1,186,11.06,0.08,0,15,"R7327","R5993","R5230"
3,3,1,2,186,11.06,0.08,0,7,"R7328","R5993","R5230"
3,3,1,1,186,11.06,0.08,0,7,"R7329","R5993","R5230"
1,1,1,1,186,10.46,0.11,1,1,"R7330","R5930","R5938"
1,1,1,1,186,10.46,0.11,1,1,"R7331","R5930","R5938"
5,4,1,1,186,10.46,0.11,0,15,"R7332","R5930","R5938"
3,3,1,1,186,10.46,0.11,0,7,"R7333","R5930","R5938"
5,4,1,2,186,10.46,0.11,0,15,"R7334","R5930","R5938"
3,3,1,1,186,10.46,0.11,0,7,"R7335","R5930","R5938"
3,3,1,2,186,10.46,0.11,0,7,"R7336","R5930","R5938"
2,2,1,2,186,10.31,0.11,1,7,"R7338","R5045","R5613"
1,1,1,1,186,10.74,0.08,1,1,"R7339","R5240","R6229"
3,3,1,1,186,10.74,0.08,0,7,"R7340","R5240","R6229"
2,2,1,1,186,10.74,0.08,1,7,"R7341","R5240","R6229"
3,3,1,2,186,10.74,0.08,0,7,"R7342","R5240","R6229"
3,3,1,1,186,10.74,0.08,0,7,"R7343","R5240","R6229"
2,2,1,1,186,10.74,0.08,1,7,"R7344","R5240","R6229"
3,3,1,1,186,10.74,0.08,0,7,"R7347","R5240","R6229"
2,2,1,1,186,10.74,0.08,1,7,"R7348","R5240","R6229"
5,4,1,2,186,10.74,0.08,0,15,"R7349","R5240","R6229"
3,3,1,2,186,10.74,0.08,0,7,"R7350","R5240","R6229"
5,4,1,1,186,9.72,0.06,0,15,"R7351","R5045","R3990"
3,3,1,2,186,9.72,0.06,0,7,"R7352","R5045","R3990"
5,4,1,1,186,9.72,0.06,0,15,"R7353","R5045","R3990"
5,4,1,1,186,9.72,0.06,0,11,"R7354","R5045","R3990"
3,3,1,1,186,9.72,0.06,0,7,"R7355","R5045","R3990"
5,4,1,1,186,9.72,0.06,0,15,"R7356","R5045","R3990"
5,4,1,2,186,9.72,0.06,0,15,"R7357","R5045","R3990"
2,2,1,2,186,10.68,0.09,1,7,"R7358","R6267","R4581"
1,1,1,1,186,10.68,0.09,1,1,"R7360","R6267","R4581"
3,3,1,2,186,10.68,0.09,0,7,"R7361","R6267","R4581"
5,4,1,1,186,10.68,0.09,0,15,"R7362","R6267","R4581"
2,2,1,2,186,10.68,0.09,1,7,"R7363","R6267","R4581"
1,1,1,2,186,10.68,0.09,1,1,"R7365","R6267","R4581"
1,1,1,1,185,10.25,0.08,1,1,"R7366","R5993","R4988"
1,1,1,2,185,10.25,0.08,1,1,"R7368","R5993","R4988"
1,1,1,1,185,10.25,0.08,1,1,"R7369","R5993","R4988"
3,3,1,1,185,10.25,0.08,0,7,"R7370","R5993","R4988"
3,3,1,1,185,10.25,0.08,0,7,"R7371","R5993","R4988"
1,1,1,1,185,10.25,0.08,1,1,"R7372","R5993","R4988"
3,3,1,2,185,10.25,0.08,0,7,"R7373","R5993","R4988"
5,4,1,2,185,10.25,0.08,0,15,"R7374","R5993","R4988"
3,3,1,1,185,10.67,0.12,0,7,"R7375","R6267","R3732"
2,2,1,2,185,10.67,0.12,1,7,"R7376","R6267","R3732"
3,3,1,2,185,10.67,0.12,0,7,"R7377","R6267","R3732"
2,2,1,2,185,10.67,0.12,1,5,"R7378","R6267","R3732"
1,1,1,1,185,10.67,0.12,1,1,"R7379","R6267","R3732"
2,2,1,1,185,10.67,0.12,1,7,"R7380","R6267","R3732"
3,3,1,1,185,10.67,0.12,0,7,"R7381","R6267","R3732"
3,3,1,2,185,10.87,0.07,0,7,"R7382","R6267","R5814"
1,1,1,1,185,10.87,0.07,1,1,"R7383","R6267","R5814"
1,1,1,1,185,10.87,0.07,1,1,"R7384","R6267","R5814"
3,3,1,2,185,10.87,0.07,0,7,"R7385","R6267","R5814"
3,3,1,2,185,10.87,0.07,0,7,"R7386","R6267","R5814"
2,2,1,2,185,10.87,0.07,1,7,"R7388","R6267","R5814"
3,3,1,1,185,10.87,0.07,0,7,"R7389","R6267","R5814"
3,3,1,1,185,10.87,0.07,0,7,"R7390","R6267","R5814"
5,4,1,1,185,10.42,0.05,0,11,"R7397","R2534","R6059"
2,2,1,1,185,10.42,0.05,1,7,"R7398","R2534","R6059"
4,4,1,2,185,10.42,0.05,0,11,"R7399","R2534","R6059"
5,4,1,1,185,10.42,0.05,0,15,"R7400","R2534","R6059"
5,4,1,1,185,10.42,0.05,0,7,"R7403","R2534","R6059"
2,2,1,1,185,10.42,0.05,1,7,"R7404","R2534","R6059"
1,1,1,2,185,9.8,0.1,1,1,"R7391","R5993","R4881"
2,2,1,2,185,9.8,0.1,1,5,"R7392","R5993","R4881"
1,1,1,1,185,9.8,0.1,1,1,"R7393","R5993","R4881"
3,3,1,1,185,9.8,0.1,0,7,"R7394","R5993","R4881"
2,2,1,2,185,9.8,0.1,1,5,"R7395","R5993","R4881"
1,1,1,1,185,9.8,0.1,1,1,"R7396","R5993","R4881"
2,2,1,1,187,8.31,0.03,1,5,"R7319","R15788","R15558"
3,3,1,2,184,10.79,0.07,0,7,"R7406","R6267","R4632"
2,2,1,2,184,10.79,0.07,1,5,"R7407","R6267","R4632"
1,1,1,2,184,10.79,0.07,1,1,"R7408","R6267","R4632"
3,3,1,1,184,10.79,0.07,0,7,"R7409","R6267","R4632"
3,3,1,1,184,10.79,0.07,0,7,"R7411","R6267","R4632"
1,1,1,1,184,11.01,0.1,1,1,"R7412","R6267","R5101"
2,2,1,1,184,11.01,0.1,1,7,"R7414","R6267","R5101"
2,2,1,1,184,11.01,0.1,1,5,"R7415","R6267","R5101"
2,2,1,1,184,11.01,0.1,1,7,"R7416","R6267","R5101"
2,2,1,2,184,11.01,0.1,1,7,"R7417","R6267","R5101"
3,3,1,2,184,11.01,0.1,0,7,"R7418","R6267","R5101"
1,1,1,1,184,10.26,0.1,1,1,"R7419","R5993","R5218"
1,1,1,1,184,10.26,0.1,1,1,"R7420","R5993","R5218"
1,1,1,1,184,10.26,0.1,1,1,"R7421","R5993","R5218"
1,1,1,1,184,10.26,0.1,1,1,"R7422","R5993","R5218"
1,1,1,1,184,10.26,0.1,1,1,"R7423","R5993","R5218"
3,3,1,2,184,10.26,0.1,0,7,"R7424","R5993","R5218"
3,3,1,1,184,10.26,0.1,0,7,"R7425","R5993","R5218"
3,3,1,1,184,10.26,0.1,0,7,"R7426","R5993","R5218"
5,4,1,2,184,10.26,0.1,0,15,"R7427","R5993","R5218"
1,1,1,2,184,10.26,0.1,1,1,"R7428","R5993","R5218"
2,2,1,1,184,10.94,0.09,1,5,"R7429","R6267","R6379"
2,2,1,1,184,10.94,0.09,1,7,"R7430","R6267","R6379"
1,1,1,1,184,10.94,0.09,1,1,"R7432","R6267","R6379"
1,1,1,1,184,10.94,0.09,1,1,"R7433","R6267","R6379"
5,4,1,2,184,10.94,0.09,0,15,"R7434","R6267","R6379"
2,2,1,2,184,10.94,0.09,1,7,"R7435","R6267","R6379"
2,2,1,2,184,10.94,0.09,1,7,"R7436","R6267","R6379"
5,4,1,1,184,10.94,0.09,0,15,"R7437","R6267","R6379"
1,1,1,2,184,10.62,0.07,1,1,"R7438","R5641","R6213"
1,1,1,2,184,10.62,0.07,1,1,"R7439","R5641","R6213"
2,2,1,2,184,10.62,0.07,1,7,"R7440","R5641","R6213"
3,3,1,2,184,10.62,0.07,0,7,"R7441","R5641","R6213"
2,2,1,2,184,10.62,0.07,1,7,"R7442","R5641","R6213"
1,1,1,2,184,10.62,0.07,1,1,"R7443","R5641","R6213"
3,3,1,2,184,10.62,0.07,0,7,"R7444","R5641","R6213"
2,2,1,2,184,10.62,0.07,1,5,"R7445","R5641","R6213"
2,2,1,1,184,10.62,0.07,1,5,"R7447","R5641","R6213"
2,2,1,2,184,10.66,0.07,1,7,"R7452","R6272","R2959"
5,4,1,2,184,10.66,0.07,0,15,"R7453","R6272","R2959"
2,2,1,2,184,10.66,0.07,1,7,"R7454","R6272","R2959"
2,2,1,2,184,10.66,0.07,1,7,"R7455","R6272","R2959"
1,1,1,1,184,10.66,0.07,1,1,"R7456","R6272","R2959"
3,3,1,2,184,10.66,0.07,0,7,"R7457","R6272","R2959"
1,1,1,1,184,10.66,0.07,1,1,"R7458","R6272","R2959"
2,2,1,1,184,10.66,0.07,1,7,"R7459","R6272","R2959"
2,2,1,1,184,10.42,0.07,1,7,"R7461","R5641","R6087"
2,2,1,2,184,10.42,0.07,1,7,"R7462","R5641","R6087"
2,2,1,2,184,10.42,0.07,1,7,"R7463","R5641","R6087"
2,2,1,1,184,10.42,0.07,1,7,"R7464","R5641","R6087"
2,2,1,1,184,10.42,0.07,1,7,"R7465","R5641","R6087"
2,2,1,1,184,10.42,0.07,1,7,"R7466","R5641","R6087"
3,3,1,1,184,10.42,0.07,0,7,"R7467","R5641","R6087"
1,1,1,1,184,10.42,0.07,1,1,"R7468","R5641","R6087"
2,2,1,2,184,11.08,0.09,1,7,"R7469","R6272","R5493"
3,3,1,1,184,11.08,0.09,0,7,"R7470","R6272","R5493"
5,4,1,1,184,11.08,0.09,0,15,"R7471","R6272","R5493"
3,3,1,1,184,11.08,0.09,0,7,"R7472","R6272","R5493"
5,4,1,2,183,7.71,0.00400000118998981,0,15,"R7474","R15755","R5079"
5,4,1,1,183,7.71,0.00400000118998981,0,15,"R7475","R15755","R5079"
1,1,1,2,183,11.05,0.07,1,1,"R7476","R6267","R5863"
2,2,1,1,183,11.05,0.07,1,7,"R7477","R6267","R5863"
5,4,1,1,183,11.05,0.07,0,15,"R7479","R6267","R5863"
2,2,1,1,183,10.44,0.08,1,7,"R7481","R5641","R5933"
2,2,1,1,183,10.44,0.08,1,7,"R7482","R5641","R5933"
