"altDogID","altSireID","altDamID"
"R3792","R2727","R2057"
"R2949","R258","R1441"
"R3926","R2870","R1458"
"R4911","R2059","R1327"
"R1495","R539","R549"
"R528","R14715","R199"
"R4072","R1667","R1327"
"R2950","R258","R1441"
"R1815","R622","R177"
"R4073","R1667","R1327"
"R3089","R1215","R2080"
"R918","R14591","R187"
"R1672","R14711","R481"
"R3399","R165","R648"
"R1956","R1178","R548"
"R1197","R14702","R376"
"R5284","R2608","R4105"
"R1496","R539","R549"
"R3681","R14598","R1216"
"R3081","R1943","R224"
"R1198","R14702","R376"
"R111","R31","R71"
"R786","R14715","R217"
"R1673","R14711","R481"
"R3682","R14598","R1216"
"R4186","R799","R904"
"R787","R14715","R217"
"R1059","R14608","R173"
"R919","R14591","R187"
"R4912","R2059","R1327"
"R529","R14715","R199"
"R3090","R1215","R2080"
"R920","R14591","R187"
"R4776","R3608","R2958"
"R5285","R2608","R4105"
"R254","R168","R191"
"R5286","R2608","R4105"
"R788","R14715","R217"
"R3091","R1215","R2080"
"R2817","R14734","R650"
"R2951","R258","R1441"
"R3332","R14681","R2080"
"R4187","R799","R904"
"R2237","R1178","R650"
"R3460","R799","R2374"
"R374","R14715","R122"
"R5287","R2608","R4105"
"R2238","R1178","R650"
"R4913","R2059","R1327"
"R3683","R14598","R1216"
"R3793","R2727","R2057"
"R4627","R3148","R2475"
"R3212","R2059","R1694"
"R4777","R3608","R2958"
"R3333","R14681","R2080"
"R5053","R3773","R2058"
"R1346","R14702","R213"
"R789","R14715","R217"
"R4074","R1667","R1327"
"R2818","R14734","R650"
"R1199","R14702","R376"
"R5288","R2608","R4105"
"R790","R14715","R217"
"R921","R14591","R187"
"R2239","R1178","R650"
"R4075","R1667","R1327"
"R3927","R2870","R1458"
"R3461","R799","R2374"
"R1200","R14702","R376"
"R4333","R1497","R3226"
"R4914","R2059","R1327"
"R14844","R3608","R14650"
"R3462","R799","R2374"
"R1674","R14711","R481"
"R4188","R799","R904"
"R14845","R14587","R14559"
"R3794","R2727","R2057"
"R4778","R3608","R2958"
"R5420","R2059","R3822"
"R3092","R1215","R2080"
"R375","R14715","R122"
"R5054","R3773","R2058"
"R5289","R2608","R4105"
"R1404","R14672","R479"
"R1885","R14642","R228"
"R2884","R14648","R648"
"R5492","R2553","R2941"
"R5509","R2608","R2940"
"R5520","R4127","R4373"
"R3636","R2526","R1067"
"R2693","R14648","R651"
"R550","R14608","R216"
"R5493","R2553","R2941"
"R5510","R2608","R2940"
"R5458","R2534","R4265"
"R5463","R4127","R3928"
"R5469","R3148","R3998"
"R5474","R4240","R2197"
"R5475","R2608","R2933"
"R5489","R2534","R2671"
"R5494","R2553","R2941"
"R5501","R2534","R2489"
"R5511","R2608","R2940"
"R5529","R2534","R4383"
"R5533","R2553","R2057"
"R5416","R4127","R1327"
"R2517","R1604","R1001"
"R2360","R1702","R1466"
"R2126","R1377","R651"
"R5444","R2553","R2475"
"R2272","R14734","R176"
"R5417","R4240","R3696"
"R5459","R2534","R4265"
"R1381","R14642","R623"
"R5464","R4127","R3928"
"R5470","R3148","R3998"
"R1555","R14642","R538"
"R5476","R4240","R2197"
"R1405","R14672","R479"
"R1886","R14642","R228"
"R2885","R14648","R648"
"R5477","R2608","R2933"
"R5490","R2534","R2671"
"R1421","R14648","R481"
"R2018","R14734","R538"
"R5495","R2553","R2941"
"R5502","R2534","R2489"
"R5512","R2608","R2940"
"R1445","R14648","R651"
"R5521","R4127","R4373"
"R5530","R2534","R4383"
"R3637","R2526","R1067"
"R5534","R2553","R2057"
"R2920","R1440","R1067"
"R2512","R1594","R825"
"R1816","R242","R307"
"R2694","R14648","R651"
"R5430","R2534","R2958"
"R1233","R14648","R538"
"R3713","R2039","R2475"
"R5445","R2553","R2475"
"R5450","R4127","R3668"
"R2273","R14734","R176"
"R5460","R2534","R4265"
"R5465","R4127","R3928"
"R5471","R3148","R3998"
"R3004","R14681","R1659"
"R5478","R4240","R2197"
"R5479","R2608","R2933"
"R2576","R14564","R1697"
"R5491","R2534","R2671"
"R5496","R2553","R2941"
"R5503","R2534","R2489"
"R5513","R2608","R2940"
"R5522","R4127","R4373"
"R5531","R2534","R4383"
"R2055","R14702","R498"
"R5535","R2553","R2057"
"R3714","R2039","R2475"
"R5451","R4127","R3668"
"R2274","R14734","R176"
"R14846","R14642","R623"
"R2390","R1604","R1442"
"R5466","R4127","R3928"
"R5472","R3148","R3998"
"R1556","R14642","R538"
"R5480","R4240","R2197"
"R1406","R14672","R479"
"R1887","R14642","R228"
"R2886","R14648","R648"
"R2577","R1368","R1595"
"R5481","R2608","R2933"
"R2578","R14564","R1697"
"R1422","R14648","R481"
"R2424","R649","R612"
"R2019","R14734","R538"
"R5497","R2553","R2941"
"R5504","R2534","R2489"
"R2444","R497","R1231"
"R5514","R2608","R2940"
"R1446","R14648","R651"
"R2455","R1377","R1000"
"R5523","R4127","R4373"
"R5536","R2553","R2057"
"R2695","R14648","R651"
"R1234","R14648","R538"
"R5446","R2553","R2475"
"R2275","R14734","R176"
"R5190","R2534","R3831"
"R5467","R4127","R3928"
"R5473","R3148","R3998"
"R5482","R4240","R2197"
"R2579","R1368","R1595"
"R5483","R2608","R2933"
"R2580","R14564","R1697"
"R5498","R2553","R2941"
"R5505","R2534","R2489"
"R2445","R497","R1231"
"R5515","R2608","R2940"
"R5524","R4127","R4373"
"R5532","R2534","R4383"
"R5537","R2553","R2057"
"R3334","R14681","R2080"
"R2127","R1377","R651"
"R5447","R2553","R2475"
"R5452","R4127","R3668"
"R5461","R2534","R4265"
"R1382","R14642","R623"
"R5468","R4127","R3928"
"R2394","R1440","R1545"
"R3271","R14681","R1466"
"R1557","R14642","R538"
"R5484","R4240","R2197"
"R1407","R14672","R479"
"R1888","R14642","R228"
"R2887","R14648","R648"
"R5485","R2608","R2933"
"R2581","R14564","R1697"
"R1423","R14648","R481"
"R14847","R2553","R2941"
"R5506","R2534","R2489"
"R5516","R2608","R2940"
"R14848","R14648","R651"
"R5525","R4127","R4373"
"R5538","R2553","R2057"
"R346","R14568","R209"
"R14849","R1594","R481"
"R5273","R2553","R3086"
"R5418","R4240","R3696"
"R2696","R14648","R651"
"R5448","R2553","R2475"
"R5453","R4127","R3668"
"R5486","R4240","R2197"
"R5487","R2608","R2933"
"R2582","R14564","R1697"
"R5499","R2553","R2941"
"R5507","R2534","R2489"
"R5526","R4127","R4373"
"R2487","R1702","R1693"
"R5419","R4240","R3696"
"R1817","R242","R307"
"R5431","R2534","R2958"
"R5454","R4127","R3668"
"R5462","R2534","R4265"
"R1383","R14642","R623"
"R1102","R255","R177"
"R1558","R14642","R538"
"R5488","R4240","R2197"
"R1408","R14672","R479"
"R1889","R14642","R228"
"R2888","R14648","R648"
"R1424","R14648","R481"
"R2425","R649","R612"
"R5508","R2534","R2489"
"R5517","R2608","R2940"
"R1447","R14648","R651"
"R5527","R4127","R4373"
"R2921","R1440","R1067"
"R2669","R1085","R1694"
"R1818","R242","R307"
"R2697","R14648","R651"
"R2117","R1377","R549"
"R2583","R14564","R1697"
"R5500","R2553","R2941"
"R5518","R2608","R2940"
"R5528","R4127","R4373"
"R807","R14715","R161"
"R4334","R1497","R3226"
"R1201","R14702","R376"
"R922","R239","R213"
"R4189","R799","R3072"
"R4190","R799","R3072"
"R2931","R1831","R538"
"R4191","R799","R3072"
"R2932","R1831","R538"
"R1675","R14702","R648"
"R923","R239","R213"
"R14850","R14586","R1901"
"R55","R10","R14615"
"R1347","R179","R227"
"R2088","R258","R1369"
"R5290","R2534","R3745"
"R4193","R2870","R1660"
"R2352","R258","R1369"
"R1676","R14608","R376"
"R2240","R497","R1467"
"R5421","R4127","R3189"
"R1677","R14608","R376"
"R3093","R1214","R1596"
"R531","R14552","R188"
"R1060","R14702","R248"
"R14851","R14551","R14551"
"R3795","R2870","R1595"
"R532","R14552","R188"
"R2513","R1440","R1575"
"R4920","R2059","R2799"
"R4629","R2608","R2735"
"R4194","R2870","R1660"
"R1499","R14608","R187"
"R2241","R497","R1467"
"R1061","R14702","R248"
"R2353","R258","R1369"
"R5422","R4127","R3189"
"R3335","R14713","R1467"
"R3796","R2870","R1595"
"R3929","R2727","R2080"
"R377","R14697","R194"
"R1062","R14702","R248"
"R924","R14575","R218"
"R2354","R258","R1369"
"R3094","R1214","R1596"
"R1063","R14702","R248"
"R3095","R1214","R1596"
"R4335","R3148","R2839"
"R4780","R1738","R2488"
"R4195","R2870","R1660"
"R925","R14575","R218"
"R2242","R497","R1467"
"R2952","R2039","R1327"
"R4196","R2870","R1660"
"R4336","R3148","R2839"
"R3096","R1214","R1596"
"R2089","R258","R1369"
"R1348","R179","R227"
"R2684","R14587","R1660"
"R5055","R2059","R1959"
"R4197","R2870","R1660"
"R1819","R242","R307"
"R378","R14697","R194"
"R2514","R1440","R1575"
"R4476","R3366","R2552"
"R2685","R14587","R1660"
"R4921","R2059","R2799"
"R4753","R3608","R1467"
"R379","R14697","R194"
"R2515","R1440","R1575"
"R1500","R14608","R187"
"R1501","R14608","R187"
"R3797","R2870","R1595"
"R4076","R2870","R2060"
"R2953","R2039","R1327"
"R1678","R14608","R376"
"R1502","R14608","R187"
"R380","R14697","R194"
"R3213","R178","R1378"
"R5423","R4127","R3189"
"R381","R14697","R194"
"R2819","R258","R1008"
"R533","R14552","R188"
"R3798","R2870","R1595"
"R4630","R2608","R2735"
"R3684","R1377","R2607"
"R2686","R14587","R1660"
"R2516","R1440","R1575"
"R4781","R1738","R2488"
"R4922","R2059","R2799"
"R4923","R2059","R2799"
"R4782","R1738","R2488"
"R2954","R2039","R1327"
"R5056","R2059","R1959"
"R5291","R2534","R3745"
"R4077","R2870","R2060"
"R4198","R2870","R1660"
"R3930","R2727","R2080"
"R3931","R2727","R2080"
"R1503","R14608","R187"
"R4631","R2608","R2735"
"R3799","R2870","R1595"
"R1820","R242","R307"
"R3214","R178","R1378"
"R4632","R2608","R2735"
"R1064","R14702","R248"
"R2820","R258","R1008"
"R4924","R2059","R2799"
"R1349","R179","R227"
"R2687","R14587","R1660"
"R5057","R2059","R1959"
"R4337","R3148","R2839"
"R2688","R14587","R1660"
"R4199","R2870","R1660"
"R2276","R449","R14708"
"R3800","R2870","R1595"
"R1350","R179","R227"
"R5424","R4127","R3189"
"R3685","R1377","R2607"
"R2243","R497","R1467"
"R1351","R179","R227"
"R4783","R1738","R2488"
"R3097","R1214","R1596"
"R2090","R258","R1369"
"R2821","R258","R1008"
"R1504","R14608","R187"
"R2244","R497","R1467"
"R3932","R2727","R2080"
"R2245","R497","R1467"
"R4784","R1738","R2488"
"R2355","R258","R1369"
"R2689","R14587","R1660"
"R4633","R2608","R2735"
"R3801","R2870","R1595"
"R1679","R14608","R376"
"R1821","R242","R307"
"R5425","R4127","R3189"
"R3098","R1214","R1596"
"R1680","R14608","R376"
"R382","R14697","R194"
"R1352","R179","R227"
"R3336","R14713","R1467"
"R5058","R2059","R1959"
"R926","R14575","R218"
"R4338","R3148","R2839"
"R4634","R2608","R2735"
"R3215","R178","R1378"
"R4635","R2608","R2735"
"R1353","R179","R227"
"R1354","R179","R227"
"R2356","R258","R1369"
"R3463","R14618","R801"
"R2955","R2039","R1327"
"R2091","R258","R1369"
"R3933","R2727","R2080"
"R4925","R2059","R2799"
"R3802","R2870","R1595"
"R4339","R3148","R2839"
"R1355","R179","R227"
"R2690","R14587","R1660"
"R4636","R2608","R2735"
"R1681","R14608","R376"
"R3099","R1214","R1596"
"R3337","R14713","R1467"
"R4926","R2059","R2799"
"R2691","R14587","R1660"
"R5059","R2059","R1959"
"R5292","R2534","R3745"
"R3130","R1831","R184"
"R4078","R2870","R2060"
"R5426","R4127","R3189"
"R4200","R2870","R1660"
"R4637","R2608","R2735"
"R3686","R1377","R2607"
"R2092","R258","R1369"
"R3100","R1214","R1596"
"R3216","R178","R1378"
"R534","R14552","R188"
"R4079","R2870","R2060"
"R2822","R258","R1008"
"R2357","R258","R1369"
"R5060","R2059","R1959"
"R4201","R2870","R1660"
"R3217","R178","R1378"
"R1065","R14702","R248"
"R14852","R2059","R14612"
"R383","R14697","R194"
"R535","R14552","R188"
"R3803","R2870","R1595"
"R14853","R14551","R14551"
"R2823","R258","R1008"
"R3464","R14618","R801"
"R2093","R258","R1369"
"R4785","R1738","R2488"
"R2246","R497","R1467"
"R5061","R2059","R1959"
"R4340","R3148","R2839"
"R536","R14552","R188"
"R5427","R4127","R3189"
"R4786","R1738","R2488"
"R4638","R2608","R2735"
"R384","R14697","R194"
"R2824","R258","R1008"
"R2094","R258","R1369"
"R4202","R2870","R1660"
"R4639","R2608","R2735"
"R3338","R14713","R1467"
"R3101","R1214","R1596"
"R3804","R2870","R1595"
"R2961","R178","R1444"
"R1505","R14608","R187"
"R3339","R14713","R1467"
"R14854","R14702","R248"
"R2956","R2039","R1327"
"R4203","R2870","R1660"
"R1822","R242","R307"
"R4080","R2870","R2060"
"R3687","R1377","R2607"
"R5293","R2534","R3745"
"R4787","R1738","R2488"
"R2692","R14587","R1660"
"R14855","R14634","R14727"
"R4477","R3366","R2552"
"R2594","R1831","R623"
"R3934","R2727","R2080"
"R3805","R2870","R1595"
"R2358","R258","R1369"
"R537","R14552","R188"
"R4478","R3366","R2552"
"R1682","R14608","R376"
"R3340","R14713","R1467"
"R5428","R4127","R3189"
"R4788","R1738","R2488"
"R4927","R2059","R2799"
"R5062","R2059","R1959"
"R1683","R14608","R376"
"R3688","R1377","R2607"
"R2957","R2039","R1327"
"R14856","R14711","R14602"
"R4341","R3148","R2839"
"R2095","R258","R1369"
"R1066","R14702","R248"
"R3341","R14713","R1467"
"R3465","R14618","R801"
"R4342","R3148","R2839"
"R1823","R242","R307"
"R4727","R2534","R1808"
"R3342","R14713","R1467"
"R927","R14575","R218"
"R3935","R2727","R2080"
"R2247","R497","R1467"
"R1684","R14608","R376"
"R928","R14636","R227"
"R929","R14636","R227"
"R385","R179","R206"
"R386","R179","R206"
"R1070","R238","R176"
"R2096","R449","R1216"
"R2361","R258","R1544"
"R2518","R1604","R1001"
"R3082","R1943","R224"
"R14857","R1594","R14602"
"R14858","R14671","R1128"
"R4928","R2727","R2489"
"R5064","R1667","R3542"
"R4344","R2672","R1958"
"R2097","R449","R1216"
"R5065","R1667","R3542"
"R4204","R2672","R2607"
"R5066","R1667","R3542"
"R791","R14715","R185"
"R4345","R2672","R1958"
"R5294","R4174","R1917"
"R2825","R1069","R305"
"R3806","R2672","R651"
"R4929","R2727","R2489"
"R2519","R1604","R1001"
"R3469","R2474","R1369"
"R4205","R2672","R2607"
"R5295","R4174","R1917"
"R930","R14636","R227"
"R3325","R2373","R1431"
"R1685","R547","R651"
"R4789","R1564","R3542"
"R4930","R2727","R2489"
"R2362","R258","R1544"
"R1824","R622","R219"
"R931","R14636","R227"
"R1686","R547","R651"
"R2363","R258","R1544"
"R3131","R1831","R184"
"R5296","R4174","R1917"
"R4790","R1564","R3542"
"R4791","R1564","R3542"
"R2520","R1604","R1001"
"R540","R14702","R14551"
"R4792","R1564","R3542"
"R2698","R14648","R651"
"R530","R14715","R199"
"R2248","R14711","R904"
"R541","R14702","R14551"
"R5067","R1667","R3542"
"R4479","R3310","R3422"
"R387","R179","R206"
"R2098","R449","R1216"
"R2249","R14711","R904"
"R2826","R1069","R305"
"R4480","R3310","R3422"
"R3343","R2373","R1458"
"R3704","R2174","R1442"
"R3344","R2373","R1458"
"R1960","R1214","R176"
"R4481","R3310","R3422"
"R621","R14702","R175"
"R3936","R196","R549"
"R2542","R258","R1700"
"R3345","R2373","R1458"
"R14859","R14552","R14604"
"R5297","R4174","R1917"
"R2827","R1069","R305"
"R2828","R1069","R305"
"R1202","R14608","R403"
"R2250","R14711","R904"
"R2829","R1069","R305"
"R3705","R2174","R1442"
"R4793","R1564","R3542"
"R2830","R1069","R305"
"R1687","R547","R651"
"R1825","R622","R219"
"R2699","R14648","R651"
"R2099","R449","R1216"
"R542","R14702","R14551"
"R3937","R196","R549"
"R3807","R2672","R651"
"R4482","R3310","R3422"
"R3938","R196","R549"
"R14860","R14689","R14627"
"R1688","R547","R651"
"R4483","R3310","R3422"
"R1203","R14608","R403"
"R2831","R1069","R305"
"R5298","R4174","R1917"
"R4484","R3310","R3422"
"R792","R14715","R185"
"R3944","R2553","R2395"
"R1961","R1214","R176"
"R3706","R2174","R1442"
"R3346","R2373","R1458"
"R3347","R2373","R1458"
"R4931","R2727","R2489"
"R4250","R3148","R2799"
"R2251","R14711","R904"
"R3348","R2373","R1458"
"R2252","R14711","R904"
"R1689","R547","R651"
"R2521","R1604","R1001"
"R4932","R2727","R2489"
"R3939","R196","R549"
"R2100","R449","R1216"
"R3470","R2474","R1369"
"R3808","R2672","R651"
"R2101","R449","R1216"
"R4628","R3148","R2475"
"R4485","R3310","R3422"
"R3809","R2672","R651"
"R2102","R449","R1216"
"R793","R14715","R185"
"R1690","R547","R651"
"R1204","R14608","R403"
"R4728","R2534","R1808"
"R4729","R2534","R1808"
"R1205","R14608","R403"
"R1206","R14608","R403"
"R3349","R2373","R1458"
"R2832","R1069","R305"
"R1691","R547","R651"
"R3940","R196","R549"
"R932","R14636","R227"
"R3350","R2373","R1458"
"R2103","R449","R1216"
"R3083","R1943","R224"
"R5068","R1667","R3542"
"R3689","R14723","R1002"
"R3726","R2727","R2552"
"R5069","R1667","R3542"
"R1826","R622","R219"
"R2104","R449","R1216"
"R1071","R238","R176"
"R3102","R2174","R1959"
"R543","R14702","R14551"
"R2522","R1604","R1001"
"R3690","R14723","R1002"
"R3941","R196","R549"
"R4640","R3608","R2060"
"R933","R14636","R227"
"R2700","R14648","R651"
"R3942","R196","R549"
"R544","R14702","R14551"
"R3351","R2373","R1458"
"R2253","R14711","R904"
"R1692","R547","R651"
"R4486","R3310","R3422"
"R5299","R4174","R1917"
"R4641","R3608","R2060"
"R2254","R14711","R904"
"R14861","R14734","R14558"
"R4424","R799","R3086"
"R794","R14715","R185"
"R4692","R3148","R2359"
"R14862","R14560","R14585"
"R2523","R1604","R1001"
"R2833","R1069","R305"
"R3810","R2672","R651"
"R2255","R14711","R904"
"R4346","R2672","R1958"
"R2364","R258","R1544"
"R5300","R4174","R1917"
"R3471","R2474","R1369"
"R4933","R2727","R2489"
"R4487","R3310","R3422"
"R2256","R14711","R904"
"R3691","R14723","R1002"
"R1072","R238","R176"
"R1207","R14608","R403"
"R4347","R2672","R1958"
"R4206","R2672","R2607"
"R4666","R3466","R624"
"R2701","R14648","R651"
"R14863","R14551","R14551"
"R2524","R1604","R1001"
"R795","R14715","R185"
"R4162","R1702","R1232"
"R3472","R2474","R1369"
"R115","R45","R36"
"R4642","R3608","R2060"
"R1962","R1214","R176"
"R5301","R4174","R1917"
"R1073","R238","R176"
"R545","R14702","R175"
"R4207","R2672","R2607"
"R2525","R1604","R1001"
"R3811","R2672","R651"
"R546","R14702","R14551"
"R3692","R14723","R1002"
"R1963","R1214","R176"
"R3084","R1943","R224"
"R2365","R258","R1544"
"R388","R179","R206"
"R796","R14715","R185"
"R3693","R14723","R1002"
"R1208","R14608","R403"
"R2834","R1069","R305"
"R797","R14715","R185"
"R14864","R14711","R904"
"R1827","R622","R219"
"R4348","R2672","R1958"
"R389","R179","R206"
"R4208","R2672","R2607"
"R14865","R14684","R14716"
"R4081","R3218","R648"
"R5302","R4174","R1917"
"R3694","R14723","R1002"
"R1074","R238","R176"
"R1964","R1214","R176"
"R2257","R14711","R904"
"R4209","R2672","R2607"
"R390","R179","R206"
"R3943","R196","R549"
"R934","R14636","R227"
"R2105","R449","R1216"
"R1828","R622","R219"
"R935","R14636","R227"
"R2258","R14711","R904"
"R391","R179","R206"
"R4934","R2727","R2489"
"R5303","R4174","R1917"
"R4794","R1564","R3542"
"R1829","R622","R219"
"R4210","R2672","R2607"
"R1209","R14608","R403"
"R1075","R238","R176"
"R2702","R14648","R651"
"R4082","R3218","R648"
"R4997","R2534","R2671"
"R3695","R14723","R1002"
"R1830","R622","R219"
"R1210","R14608","R403"
"R3812","R2672","R651"
"R798","R14715","R185"
"R5304","R4174","R1917"
"R4349","R2672","R1958"
"R3813","R2672","R651"
"R3814","R2672","R651"
"R3473","R2474","R1369"
"R4935","R2727","R2489"
"R2106","R449","R1216"
"R3352","R2373","R1458"
"R392","R179","R206"
"R2366","R258","R1544"
"R393","R179","R206"
"R5070","R3773","R3189"
"R4350","R2727","R3227"
"R4643","R1497","R3311"
"R5071","R3773","R3189"
"R5432","R2534","R3775"
"R394","R14702","R123"
"R4351","R2727","R3227"
"R3474","R2727","R1327"
"R1832","R165","R240"
"R551","R14608","R216"
"R2367","R1702","R1466"
"R3218","R14681","R623"
"R4489","R3466","R1959"
"R1076","R256","R172"
"R4352","R2727","R3227"
"R14866","R1377","R14641"
"R4644","R1497","R3311"
"R1833","R165","R240"
"R2703","R1831","R1086"
"R4211","R2534","R1694"
"R1077","R256","R172"
"R4212","R2534","R1694"
"R4490","R3466","R1959"
"R4213","R2534","R1694"
"R2107","R1068","R1213"
"R4353","R2727","R3227"
"R1266","R165","R548"
"R3103","R1594","R1213"
"R4447","R3148","R2959"
"R395","R14702","R123"
"R2108","R1068","R1213"
"R552","R14608","R216"
"R2337","R1594","R648"
"R2704","R1831","R1086"
"R3698","R2534","R1696"
"R1078","R256","R172"
"R4278","R2534","R3073"
"R2368","R1702","R1466"
"R802","R258","R174"
"R3945","R2553","R2395"
"R1834","R165","R240"
"R2705","R1831","R1086"
"R4936","R2870","R2476"
"R803","R258","R174"
"R1217","R14702","R498"
"R3219","R14681","R623"
"R1966","R238","R227"
"R14867","R14551","R14571"
"R5433","R2534","R3775"
"R3946","R2553","R2395"
"R3815","R1215","R2662"
"R553","R14608","R216"
"R3699","R2534","R1696"
"R2835","R2059","R1700"
"R1506","R862","R217"
"R2369","R1702","R1466"
"R1079","R256","R172"
"R3655","R1377","R1128"
"R2706","R1831","R1086"
"R4214","R2534","R1694"
"R1080","R256","R172"
"R3947","R2553","R2395"
"R3475","R2727","R1327"
"R1835","R165","R240"
"R2707","R1831","R1086"
"R4950","R2534","R1944"
"R3948","R2553","R2395"
"R1081","R256","R172"
"R4354","R2727","R3227"
"R2109","R1068","R1213"
"R1967","R238","R227"
"R554","R14608","R216"
"R1968","R238","R227"
"R2836","R2059","R1700"
"R3816","R1215","R2662"
"R1082","R256","R172"
"R4491","R3466","R1959"
"R1267","R165","R548"
"R3220","R14681","R623"
"R2708","R1831","R1086"
"R3476","R2727","R1327"
"R3221","R14681","R623"
"R1083","R256","R172"
"R1507","R862","R217"
"R2110","R1068","R1213"
"R3104","R1594","R1213"
"R3477","R2727","R1327"
"R2111","R1068","R1213"
"R396","R14702","R123"
"R3877","R2870","R2670"
"R3949","R2553","R2395"
"R397","R14702","R123"
"R1268","R165","R548"
"R1836","R165","R240"
"R5434","R2534","R3775"
"R1969","R238","R227"
"R3222","R14681","R623"
"R4645","R1497","R3311"
"R5435","R2534","R3775"
"R645","R14608","R216"
"R4059","R2474","R2940"
"R3950","R2553","R2395"
"R1698","R14711","R623"
"R3597","R2174","R1694"
"R3478","R2727","R1327"
"R3105","R1594","R1213"
"R1837","R165","R240"
"R4215","R2534","R1694"
"R1508","R862","R217"
"R3817","R1215","R2662"
"R1699","R14711","R623"
"R2112","R1068","R1213"
"R1269","R165","R548"
"R3106","R1594","R1213"
"R2709","R1831","R1086"
"R1970","R238","R227"
"R2370","R1702","R1466"
"R4646","R1497","R3311"
"R3223","R14681","R623"
"R1509","R862","R217"
"R3107","R1594","R1213"
"R4492","R3466","R1959"
"R2837","R2059","R1700"
"R14868","R14551","R14551"
"R1971","R238","R227"
"R4216","R2534","R1694"
"R4355","R2727","R3227"
"R2710","R1831","R1086"
"R398","R14702","R123"
"R14869","R2174","R14556"
"R399","R14702","R123"
"R4218","R2672","R2359"
"R3224","R14681","R623"
"R4356","R2727","R3227"
"R2371","R1702","R1466"
"R400","R14702","R123"
"R1972","R238","R227"
"R1270","R165","R548"
"R4493","R3466","R1959"
"R2113","R1068","R1213"
"R1973","R238","R227"
"R14870","R14578","R14589"
"R4217","R2534","R1694"
"R1218","R14702","R498"
"R1974","R238","R227"
"R1219","R14702","R498"
"R2259","R539","R227"
"R3951","R2553","R2395"
"R1271","R165","R548"
"R1220","R14702","R498"
"R5072","R3773","R3189"
"R4937","R2870","R2476"
"R3700","R2534","R1696"
"R5305","R2534","R3306"
"R3085","R1943","R224"
"R804","R258","R174"
"R2114","R1068","R1213"
"R3701","R2534","R1696"
"R14871","R14551","R14571"
"R4938","R2870","R2476"
"R3952","R2553","R2395"
"R2838","R2059","R1700"
"R805","R258","R174"
"R3353","R2059","R800"
"R2260","R539","R227"
"R4357","R2727","R3227"
"R4494","R3466","R1959"
"R1084","R256","R172"
"R3225","R14681","R623"
"R5436","R2534","R3775"
"R4358","R2727","R3227"
"R2261","R539","R227"
"R4425","R799","R3086"
"R3479","R2727","R1327"
"R3108","R1594","R1213"
"R4647","R1497","R3311"
"R401","R14702","R123"
"R2262","R539","R227"
"R1272","R165","R548"
"R3702","R2534","R1696"
"R1510","R862","R217"
"R1273","R165","R548"
"R3953","R2553","R2395"
"R2115","R1068","R1213"
"R1511","R862","R217"
"R3818","R1215","R2662"
"R646","R14608","R216"
"R1512","R862","R217"
"R2372","R1702","R1466"
"R3819","R1215","R2662"
"R1221","R14702","R498"
"R3354","R2059","R800"
"R4495","R3466","R1959"
"R1838","R165","R240"
"R1839","R165","R240"
"R806","R258","R174"
"R4359","R2727","R3227"
"R5073","R3773","R3189"
"R1222","R14702","R498"
"R5437","R2534","R3775"
"R402","R14702","R123"
"R5074","R3773","R3189"
"R2116","R1068","R1213"
"R3703","R2534","R1696"
"R1223","R14702","R498"
"R3820","R1215","R2662"
"R3821","R1215","R2662"
"R404","R179","R183"
"R808","R14715","R161"
"R555","R14608","R222"
"R4798","R3608","R2933"
"R556","R14608","R222"
"R4648","R3608","R1466"
"R405","R179","R183"
"R557","R14608","R222"
"R406","R179","R183"
"R5075","R2534","R3830"
"R5076","R2534","R3830"
"R558","R14608","R222"
"R5077","R2534","R3830"
"R5078","R2534","R3830"
"R5079","R2534","R3830"
"R5080","R2534","R3830"
"R809","R14715","R161"
"R5081","R2534","R3830"
"R1356","R622","R184"
"R407","R179","R183"
"R4497","R1497","R1216"
"R810","R14715","R161"
"R1965","R1214","R201"
"R408","R179","R183"
"R811","R14715","R161"
"R4799","R3608","R2933"
"R559","R14608","R222"
"R4498","R1497","R1216"
"R5082","R2534","R3830"
"R4800","R3608","R2933"
"R560","R14608","R222"
"R3954","R1702","R498"
"R812","R14715","R161"
"R4649","R3608","R1466"
"R14872","R14551","R14551"
"R813","R14715","R161"
"R5083","R2534","R3830"
"R409","R179","R183"
"R814","R14715","R161"
"R815","R14715","R161"
"R1357","R622","R184"
"R561","R14608","R222"
"R816","R14715","R161"
"R4650","R3608","R1466"
"R817","R14715","R161"
"R410","R179","R183"
"R4499","R1497","R1216"
"R562","R14608","R222"
"R818","R14715","R161"
"R563","R14608","R222"
"R821","R14715","R228"
"R1224","R14702","R208"
"R1225","R14702","R208"
"R1087","R214","R184"
"R411","R14552","R176"
"R412","R14552","R176"
"R936","R238","R232"
"R4501","R2553","R1917"
"R564","R231","R228"
"R4083","R3091","R1441"
"R1358","R14643","R613"
"R937","R238","R232"
"R4360","R3400","R2476"
"R2962","R1440","R1660"
"R4502","R2553","R1917"
"R205","R167","R173"
"R35","R14717","R18"
"R2842","R1068","R1693"
"R4084","R3091","R1441"
"R4801","R3148","R1700"
"R5306","R2534","R1944"
"R1982","R1043","R800"
"R2963","R1440","R1660"
"R1359","R14643","R613"
"R4219","R2672","R2359"
"R413","R14552","R176"
"R5307","R2534","R1944"
"R3229","R1178","R2057"
"R4802","R3148","R1700"
