"id","dog_GenerationCoefficient","dog_InbreedingCoefficient"
1439,8.478759766,0.108
1440,7.658691406,0.261
1441,9.320701599,0.055
1442,8.180488586,0.022
1444,8.478759766,0.108
1450,7.399429321,0.051
1453,9.127807617,0.255
1454,8.230041504,0.031
1455,8.230041504,0.031
1458,7.07421875,0.098
1459,8.508789063,0.325
1460,9.127807617,0.255
1461,7.399429321,0.051
1463,7.399429321,0.051
1464,7.399429321,0.051
1466,9.085105896,0.023
1467,7.105926514,0.003
1470,7.399429321,0.051
1471,7.399429321,0.051
1474,9.127807617,0.255
1476,8.508789063,0.325
1477,7.399429321,0.051
1478,7.105926514,0.003
1479,7.07421875,0.098
1482,7.980484009,0.061
1483,7.912475586,0.088
1485,5.203125,0
1486,2.66015625,0
1488,9.495666504,0.107
1494,8.614479065,0.065
1495,0,0
1496,6.352783203,0
1497,8.106445313,0.21
1502,7.980484009,0.061
1504,8.157546997,0.019
1505,9.495666504,0.107
1507,9.439834595,0.028
1510,6.792358398,0.002
1513,3.375,0
1517,6.611328125,0.135
1519,7.699707031,0.207
1529,7.4246521,0
1530,9.641418457,0.133
1532,7.023239136,0.066
1533,7.829528809,0
1534,4.850585938,0
1535,0,0
1536,6.630554199,0.001
1537,7.4246521,0
1538,7.387664795,0.01
1539,7.829528809,0
1542,9.641418457,0.133
1543,7.023239136,0.066
1545,7.655273438,0.172
1547,9.641418457,0.133
1549,3,0
1550,1,0
1551,0,0
1552,8.956001282,0.078
1556,5.199951172,0
1557,6.50390625,0.16
1559,7.023239136,0.066
1560,7.577728271,0.013
1562,7.559082031,0.102
1564,8.956001282,0.078
1565,3.720581055,0
1566,6.630554199,0.001
1567,8.050834656,0.097
1568,6.206542969,0
1569,7.778442383,0.012
1570,7.511291504,0.002
1571,7.705917358,0.041
1572,6.206542969,0
1573,6.350585938,0
1574,6.206542969,0
1576,9.179756165,0.043
1577,7.511291504,0.002
1578,9.179756165,0.043
1580,7.420898438,0.101
1582,8.050834656,0.097
1583,7.420898438,0.101
1584,5.201538086,0
1586,6.786376953,0
1587,7.778442383,0.012
1588,8.106445313,0.21
1589,8.157592773,0.02
1590,6.502685547,0
1591,7.420898438,0.101
1592,7.85848999,0.031
1594,8.157592773,0.02
1596,2.333007813,0
1597,4.71875,0.07
1598,6.565429688,0.03
1599,5.078125,0.043
1600,8.322753906,0.036
1603,8.882324219,0.202
1604,6.817626953,0
1605,5.339416504,0
1606,7.85660553,0.108
1607,6.941162109,0
1609,8.882324219,0.202
1610,1,0
1611,7.073791504,0.005
1614,8.549179077,0.114
1615,0,0
1617,7.154846191,0.033
1618,7.520629883,0.006
1619,6.941162109,0
1621,6.941162109,0
1623,6.3203125,0.172
1624,0,0
1625,6.941162109,0
1628,6.833007813,0.095
1629,6.792358398,0.002
1632,5.053222656,0
1633,2.5,0
1639,0,0
1640,2.333007813,0
1642,5.053222656,0
1663,7.878662109,0
1668,4.393188477,0
1669,8.715179443,0.048
1671,2.333007813,0
1672,9.258422852,0.202
1673,8.106445313,0.21
1678,5.053222656,0
1679,0,0
1680,8.40625,0.216
1682,6.229858398,0
1684,0,0
1688,7.829528809,0
1689,7.829528809,0
1691,8.678833008,0.088
1694,4.51953125,0.034
1697,9.641418457,0.133
1698,8.819747925,0.065
1699,8.808349609,0.201
1708,6.229858398,0
1710,0,0
1711,8.40625,0.216
1712,6.229858398,0
1713,6.229858398,0
1715,7.829528809,0
1716,5.199951172,0
1720,8.678833008,0.088
1721,8.678833008,0.088
1722,5.65625,0.277
1723,0,0
1724,4.9140625,0
1725,1.5,0
1727,0,0
1728,7.595153809,0
1733,3.03125,0
1734,9.361911774,0.033
1737,8.819747925,0.065
1738,7.821655273,0.042
1739,8.819747925,0.065
1741,8.808349609,0.201
1745,9.481178284,0.048
1747,8.235687256,0
1750,8.819087982,0.017
1752,6.313781738,0.084
1754,4.53125,0
1757,4.40625,0
1758,3,0
1759,7.459854126,0.015
1761,8.960083008,0.088
1763,8.960083008,0.088
1769,6.313781738,0.084
1770,4.53125,0
1772,6.313781738,0.084
1774,4.53125,0
1776,8.960083008,0.088
1778,8.235687256,0
1780,4.53125,0
1785,4.53125,0
1787,4.53125,0
1788,4.6875,0.063
1792,6.313781738,0.084
1793,6.313781738,0.084
1796,8.235687256,0
1798,4.46875,0.016
1799,9.596374512,0.247
1801,6.961547852,0.052
1803,9.596374512,0.247
1805,9.596374512,0.247
1806,9.596374512,0.247
1809,9.856430054,0.144
1810,8.554656982,0.043
1811,6.693359375,0.144
1812,8.496307373,0.015
1814,8.01499176,0.019
1815,8.584739685,0.034
1816,8.554656982,0.043
1817,9.856430054,0.144
1818,9.856430054,0.144
1819,6.693359375,0.144
1824,5.441162109,0
1825,8.001312256,0
1827,8.001312256,0
1828,8.01499176,0.019
1829,8.675079346,0.091
1830,8.01499176,0.019
1832,7.270629883,0.006
1834,7.459854126,0.015
1836,5.963867188,0.035
1837,3.234375,0
1840,6.985076904,0.004
1841,6.985076904,0.004
1843,7.270629883,0.006
1847,7.104980469,0.111
1852,7.671081543,0.002
1855,7.671081543,0.002
1856,7.860778809,0
1857,4.346679688,0
1858,7.671081543,0.002
1859,7.671081543,0.002
1861,6.810791016,0
1865,4.779541016,0
1868,7.549804688,0.292
1869,8.661682129,0.101
1870,7.656234741,0.03
1871,8.759994507,0.045
1872,5.631225586,0
1873,7.4246521,0
1875,9.95242691,0.067
1876,3.600769043,0
1877,4.972381592,0
1878,8.699691772,0.039
1879,8.035064697,0.046
1880,9.324394226,0.093
1881,9.417842865,0.121
1882,7.656234741,0.03
1885,8.847457886,0.066
1886,8.380599976,0.06
1887,6.961547852,0.052
1888,8.859634399,0.062
1889,8.644546509,0.031
1890,3.720581055,0
1891,10.01978683,0.09
1892,7.656234741,0.03
1893,8.767333984,0.056
1894,9.95242691,0.067
1895,9.95242691,0.067
1896,6.040222168,0
1897,7.52772522,0.017
1898,4.835540771,0
1899,8.759994507,0.045
1900,7.428710938,0.019
1901,9.324394226,0.093
1903,5.537109375,0
1904,8.193840027,0.003
1905,8.067504883,0.002
1906,8.554656982,0.043
1908,4.835540771,0
1909,0,0
1910,8.380599976,0.06
1912,3.720581055,0
1913,8.035064697,0.046
1914,9.371879578,0.055
1916,3.720581055,0
1917,8.631267548,0.008
1918,8.759994507,0.045
1919,4.972381592,0
1920,6.706054688,0.134
1922,7.52772522,0.017
1923,3.600769043,0
1924,8.847457886,0.066
1926,9.520423889,0.062
1927,8.699691772,0.039
1930,7.4246521,0
1931,8.847457886,0.066
1932,3.720581055,0
1933,7.420898438,0.101
1934,8.035064697,0.046
1936,3.600769043,0
1937,8.035064697,0.046
1938,6.961547852,0.052
1939,6.701400757,0.049
1940,8.847457886,0.066
1941,7.656234741,0.03
1942,9.745815277,0.036
1944,8.193840027,0.003
1946,7.595153809,0
1947,7.656234741,0.03
1948,9.520423889,0.062
1949,8.067504883,0.002
1950,8.193840027,0.003
1951,7.595153809,0
1952,4.972381592,0
1953,5.827270508,0
1954,8.847457886,0.066
1955,7.656234741,0.03
1956,10.12487411,0.066
1958,5.631225586,0
1959,3.720581055,0
1960,8.859634399,0.062
1961,8.271484375,0.129
1962,7.4246521,0
1964,7.428710938,0.019
1965,8.306121826,0.053
1966,8.067504883,0.002
1967,3.600769043,0
1968,7.4246521,0
1969,9.371879578,0.055
1970,7.656234741,0.03
1971,9.95242691,0.067
1972,8.067504883,0.002
1973,6.826599121,0.008
1974,8.859634399,0.062
1975,8.759994507,0.045
1976,10.12487411,0.066
1977,8.067504883,0.002
1979,8.678833008,0.088
1980,8.193840027,0.003
1981,8.847457886,0.066
1982,4.835540771,0
1983,9.277359009,0.051
1984,6.70223999,0.015
1985,8.859634399,0.062
1986,8.554656982,0.043
1987,7.52772522,0.017
1988,6.040222168,0
1989,3.600769043,0
1990,8.796592712,0.059
1991,6.70223999,0.015
1993,6.715698242,0.028
1994,9.520423889,0.062
1995,7.428710938,0.019
1997,8.661682129,0.101
1998,10.12487411,0.066
1999,8.380599976,0.06
2000,8.829265594,0.071
2001,9.520423889,0.062
2002,6.826599121,0.008
2003,9.745815277,0.036
2004,9.371879578,0.055
2005,6.701400757,0.049
2006,9.57302475,0.053
2007,9.371879578,0.055
2008,8.661682129,0.101
2009,8.380599976,0.06
2010,9.745815277,0.036
2011,3.600769043,0
2012,7.428710938,0.019
2013,4.835540771,0
2014,9.520423889,0.062
2015,8.193840027,0.003
2016,9.417842865,0.121
2017,6.826599121,0.008
2018,3.720581055,0
2019,10.01978683,0.09
2021,8.661682129,0.101
2022,4.835540771,0
2023,9.95242691,0.067
2024,7.595153809,0
2025,2.375,0
2026,0,0
2027,7.656234741,0.03
2028,10.12487411,0.066
2030,9.332542419,0.067
2031,9.207134247,0.042
2032,7.4246521,0
2033,9.95242691,0.067
2034,9.520423889,0.062
2035,5.631225586,0
2036,6.826599121,0.008
2037,8.193840027,0.003
2038,8.678833008,0.088
2039,9.520423889,0.062
2040,8.759994507,0.045
2041,4.835540771,0
2042,9.324394226,0.093
2043,10.12487411,0.066
2044,8.067504883,0.002
2045,10.12487411,0.066
2046,9.745815277,0.036
2047,8.859634399,0.062
2048,8.847457886,0.066
2050,9.371879578,0.055
2051,6.961547852,0.052
2052,9.324394226,0.093
2053,3.600769043,0
2054,9.371879578,0.055
2055,7.428710938,0.019
2056,9.324394226,0.093
2059,9.95242691,0.067
2061,7.4246521,0
2062,6.826599121,0.008
2063,4.835540771,0
2064,6.826599121,0.008
2065,8.859634399,0.062
2067,7.595153809,0
2068,9.651416779,0.052
2069,9.745815277,0.036
2070,9.95242691,0.067
2071,6.70223999,0.015
2072,4.835540771,0
2073,10.01978683,0.09
2074,8.306121826,0.053
2075,8.193840027,0.003
2076,8.306121826,0.053
2077,8.859634399,0.062
2078,9.95242691,0.067
2080,8.358615875,0.062
2081,9.324394226,0.093
2082,9.371879578,0.055
2083,7.4246521,0
2084,8.193840027,0.003
2085,6.040222168,0
2086,8.035064697,0.046
2087,4.972381592,0
2088,3.720581055,0
2089,8.035064697,0.046
2090,8.380599976,0.06
2091,7.428710938,0.019
2092,7.4246521,0
2093,8.554656982,0.043
2094,6.961547852,0.052
2095,8.554656982,0.043
2096,7.4246521,0
2097,8.859634399,0.062
2098,5.813781738,0.034
2099,6.040222168,0
2100,7.428710938,0.019
2101,8.554656982,0.043
2102,7.656234741,0.03
2103,6.715698242,0.028
2104,8.699691772,0.039
2105,8.678833008,0.088
2106,9.371879578,0.055
2107,8.067504883,0.002
2108,6.961547852,0.052
2109,6.484161377,0.011
2110,8.661682129,0.101
2111,8.554656982,0.043
2112,8.699691772,0.039
2113,4.835540771,0
2114,8.380599976,0.06
2115,7.428710938,0.019
2117,4.972381592,0
2118,6.826599121,0.008
2119,8.139846802,0.041
2120,4.972381592,0
2121,6.826599121,0.008
2122,5.563903809,0
2123,6.701400757,0.049
2124,10.12487411,0.066
2125,6.961547852,0.052
2126,8.035064697,0.046
2127,6.701400757,0.049
2128,7.428710938,0.019
2129,9.371879578,0.055
2130,8.759994507,0.045
2131,8.306121826,0.053
2132,9.371879578,0.055
2133,9.95242691,0.067
2134,6.715698242,0.028
2135,3.720581055,0
2136,8.859634399,0.062
2137,3.720581055,0
2138,7.52772522,0.017
2139,9.745815277,0.036
2140,8.306121826,0.053
2141,8.380599976,0.06
2143,6.961547852,0.052
2144,8.067504883,0.002
2145,4.835540771,0
2147,8.699691772,0.039
2148,6.701400757,0.049
2149,7.595153809,0
2150,8.661682129,0.101
2151,10.01978683,0.09
2152,8.847457886,0.066
2153,8.306121826,0.053
2154,8.380599976,0.06
2155,8.067504883,0.002
2156,6.70223999,0.015
2157,6.701400757,0.049
2158,8.859634399,0.062
2159,5.813781738,0.034
2160,8.380599976,0.06
2161,8.661682129,0.101
2162,6.826599121,0.008
2163,4.972381592,0
2164,7.4246521,0
2165,5.631225586,0
2166,6.701400757,0.049
2167,3.720581055,0
2169,6.040222168,0
2170,8.554656982,0.043
2171,3.720581055,0
2172,6.040222168,0
2173,3.6015625,0
2174,5.827270508,0
2175,8.032562256,0
2176,9.095516205,0.042
2177,8.628448486,0.043
2178,4.114929199,0
2179,10.04219437,0.09
2180,7.235076904,0.011
2181,8.06451416,0.026
2182,9.374523163,0.06
2183,6.484161377,0.011
2184,10.04219437,0.09
2185,7.235076904,0.011
2186,9.095516205,0.042
2187,9.0574646,0.031
2188,9.095516205,0.042
2189,10.04219437,0.09
2191,9.095516205,0.042
2192,7.235076904,0.011
2193,7.822631836,0.059
2194,8.986572266,0.056
2195,4.114929199,0
2196,8.868041992,0.03
2197,5.827270508,0
2198,8.110427856,0.027
2199,8.110427856,0.027
2200,6.839416504,0
2201,8.868041992,0.03
2202,8.986572266,0.056
2203,7.147583008,0.064
2204,6.839416504,0
2205,5.439331055,0
2206,7.147583008,0.064
2207,9.651416779,0.052
2208,8.46131897,0.028
2209,5.938140869,0.128
2210,7.474914551,0.031
2211,9.651416779,0.052
2212,9.374523163,0.06
2214,7.474914551,0.031
2215,9.651416779,0.052
2217,9.277359009,0.051
2218,8.001403809,0
2219,4.599975586,0
2220,8.796592712,0.059
2221,7.235076904,0.011
2222,5.439331055,0
2224,7.822631836,0.059
2225,8.064941406,0.136
2226,6.839416504,0
2227,4.599975586,0
2229,9.095516205,0.042
2230,5.938140869,0.128
2231,7.235076904,0.011
2232,6.112792969,0.035
2233,9.361911774,0.033
2234,8.796592712,0.059
2235,8.164840698,0.035
2236,8.628448486,0.043
2237,8.977043152,0.032
2238,4.815612793,0
2239,10.33436203,0.143
2240,5.938140869,0.128
2241,3.6015625,0
2242,9.365997314,0.051
2243,5.827270508,0
2244,3.720581055,0
2246,6.146713257,0.002
2247,8.989624023,0.086
2249,5.827270508,0
2250,4.599975586,0
2253,9.173816681,0.025
2254,10.33436203,0.143
2255,8.06451416,0.026
2259,7.147583008,0.064
2260,8.989624023,0.086
2261,5.439331055,0
2262,9.0574646,0.031
2263,6.146713257,0.002
2264,8.399902344,0.209
2265,9.095516205,0.042
2266,5.810852051,0
2267,5.827270508,0
2268,7.474914551,0.031
2269,5.810852051,0
2270,8.530227661,0.028
2271,9.361911774,0.033
2272,4.114929199,0
2274,5.439331055,0
2275,7.147583008,0.064
2277,10.04219437,0.09
2278,8.381759644,0.041
2279,8.986572266,0.056
2280,8.131340027,0.007
2281,4.815612793,0
2282,4.114929199,0
2283,7.147583008,0.064
2284,9.095516205,0.042
2285,5.938140869,0.128
2286,6.146713257,0.002
2288,9.095516205,0.042
2289,5.827270508,0
2290,3.6015625,0
2291,8.06451416,0.026
2292,8.829265594,0.071
2293,8.001403809,0
2294,9.095516205,0.042
2295,8.131340027,0.007
2296,8.989624023,0.086
2298,4.114929199,0
2299,8.381759644,0.041
2300,5.428222656,0
2301,7.235076904,0.011
2302,8.989624023,0.086
2303,7.235076904,0.011
2305,6.484161377,0.011
2307,5.428222656,0
2308,5.827270508,0
2309,6.146713257,0.002
2310,6.968933105,0.036
2311,0,0
2312,8.001403809,0
2313,5.439331055,0
2314,5.827270508,0
2315,5.428222656,0
2316,8.06451416,0.026
2317,8.868041992,0.03
2318,7.235076904,0.011
2319,8.06451416,0.026
2320,8.381759644,0.041
2321,6.839416504,0
2322,5.428222656,0
2323,5.827270508,0
2324,5.428222656,0
2325,4.396179199,0
2326,8.986572266,0.056
2327,5.428222656,0
2328,8.796592712,0.059
2329,8.796592712,0.059
2331,6.839416504,0
2332,8.977043152,0.032
2333,6.708984375,0.088
2334,5.810852051,0
2335,8.628448486,0.043
2336,5.827270508,0
2338,6.146713257,0.002
2339,7.147583008,0.064
2340,7.474914551,0.031
2341,3.6015625,0
2342,8.06451416,0.026
2343,10.33436203,0.143
2344,4.396179199,0
2346,8.530227661,0.028
2347,7.822631836,0.059
2348,9.651416779,0.052
2349,3.6015625,0
2350,8.829265594,0.071
2351,8.06451416,0.026
2352,7.474914551,0.031
2353,8.796592712,0.059
2354,6.968933105,0.036
2356,8.868041992,0.03
2357,8.381759644,0.041
2358,10.33436203,0.143
2359,7.822631836,0.059
2360,6.968933105,0.036
2361,6.146713257,0.002
2362,6.839416504,0
2363,8.131340027,0.007
2364,5.428222656,0
2365,8.001403809,0
2366,6.968933105,0.036
2367,4.396179199,0
2368,5.428222656,0
2369,4.599975586,0
2370,8.796592712,0.059
2371,5.810852051,0
2372,8.06451416,0.026
2373,5.810852051,0
2375,8.796592712,0.059
2376,10.33436203,0.143
2377,8.381759644,0.041
2378,4.396179199,0
2379,8.977043152,0.032
2380,6.146713257,0.002
2381,8.868041992,0.03
2383,8.530227661,0.028
2384,8.765468597,0.037
2385,7.474914551,0.031
2386,8.829265594,0.071
2387,6.839416504,0
2388,8.989624023,0.086
2390,8.796592712,0.059
2391,4.114929199,0
2392,3.6015625,0
2394,8.989624023,0.086
2395,3.6015625,0
2396,8.868041992,0.03
2397,7.822631836,0.059
2398,7.235076904,0.011
2399,9.361911774,0.033
2400,9.651416779,0.052
2401,7.235076904,0.011
2402,5.428222656,0
2404,5.428222656,0
2405,7.147583008,0.064
2406,7.474914551,0.031
2407,8.868041992,0.03
2408,4.114929199,0
2409,3.6015625,0
2410,6.839416504,0
2411,5.810852051,0
2412,4.993896484,0
2413,5.439331055,0
2414,9.374523163,0.06
2415,2,0
2416,6.146713257,0.002
2417,10.04219437,0.09
2418,8.110427856,0.027
2419,9.361911774,0.033
2420,6.839416504,0
2422,9.374523163,0.06
2423,9.651416779,0.052
2424,8.796592712,0.059
2425,8.868041992,0.03
2426,4.815612793,0
2427,5.938140869,0.128
2430,5.827270508,0
2431,9.651416779,0.052
2432,7.235076904,0.011
2434,8.131340027,0.007
2435,5.810852051,0
2436,8.110427856,0.027
2437,6.839416504,0
2438,9.095516205,0.042
2439,6.968933105,0.036
2440,0,0
2441,5.428222656,0
2442,7.822631836,0.059
2443,8.868041992,0.03
2444,8.989624023,0.086
2445,9.374523163,0.06
2446,3.6015625,0
2447,8.989624023,0.086
2448,8.001403809,0
2449,0,0
2450,5.907470703,0
2451,8.530227661,0.028
2452,4.599975586,0
2454,9.374523163,0.06
2455,9.374523163,0.06
2456,10.33436203,0.143
2457,5.810852051,0
2458,4.114929199,0
2459,5.439331055,0
2460,6.839416504,0
2461,7.336425781,0.106
2462,6.708984375,0.088
2463,8.977043152,0.032
2464,4.599975586,0
2465,8.977043152,0.032
2466,8.628448486,0.043
2467,4.815612793,0
2468,7.822631836,0.059
2469,3.720581055,0
2470,6.086608887,0.001
2471,6.634094238,0.021
2473,7.508117676,0.035
2474,5.629211426,0
2475,6.634094238,0.021
2476,4.531951904,0
2477,8.186828613,0.06
2478,7.508117676,0.035
2479,6.965339661,0.065
2480,6.790222168,0
2481,9.505458832,0.052
2482,6.965339661,0.065
2483,6.220031738,0.014
2484,7.347808838,0.027
2485,8.754928589,0.044
2486,8.538284302,0.035
2487,6.154541016,0
2488,6.349395752,0.005
2489,5.220581055,0
2490,8.819087982,0.017
2491,9.505458832,0.052
2493,5.557861328,0
2494,6.965339661,0.065
2495,8.186828613,0.06
2496,1,0
2497,8.754928589,0.044
2498,4.896179199,0
2499,6.965339661,0.065
2500,7.508117676,0.035
2501,5.557861328,0
2502,6.756286621,0
2503,6.220031738,0.014
2504,8.512573242,0.03
2505,6.756286621,0
2507,8.313278198,0.053
2508,8.050834656,0.097
2509,8.754928589,0.044
2510,5.629211426,0
2511,7.347808838,0.027
2512,10.51809311,0.113
2513,8.88117218,0.05
2514,9.505458832,0.052
2515,6.634094238,0.021
2516,8.195526123,0.051
2517,6.154541016,0
2518,5.629211426,0
2519,4.896179199,0
2520,5.964111328,0
2521,5.46875,0.011
2522,8.186828613,0.06
2523,8.29385376,0.03
2524,4.896179199,0
2525,5.964111328,0
2526,6.965339661,0.065
2528,6.965339661,0.065
2530,5.872833252,0
2531,8.754928589,0.044
2532,7.413848877,0.017
2533,8.538284302,0.035
2534,4.835540771,0
2535,9.651416779,0.052
2536,6.154541016,0
2537,8.186828613,0.06
2538,5.629211426,0
2539,8.195526123,0.051
2540,6.154541016,0
2541,4.835540771,0
2542,8.050834656,0.097
2543,8.88117218,0.05
2544,6.790222168,0
2545,5.557861328,0
2546,5.872833252,0
2547,8.754928589,0.044
2548,6.220031738,0.014
2549,7.413848877,0.017
2550,6.756286621,0
2551,5.557861328,0
2552,8.195526123,0.051
2553,6.965339661,0.065
2554,9.505458832,0.052
2555,10.51809311,0.113
2557,6.790222168,0
2558,6.634094238,0.021
2559,6.349395752,0.005
2560,6.595703125,0.224
2561,9.457740784,0.046
2562,0,0
2563,5.557861328,0
2564,8.754928589,0.044
2565,9.536026001,0.065
2566,5.629211426,0
2567,6.154541016,0
2568,6.457489014,0.001
2569,8.050834656,0.097
2570,4.896179199,0
2571,8.538284302,0.035
2572,5.872833252,0
2573,7.413848877,0.017
2574,8.538284302,0.035
2575,9.457740784,0.046
2576,9.505458832,0.052
2577,8.195526123,0.051
2578,9.457740784,0.046
2579,8.754928589,0.044
2580,9.684463501,0.065
2581,10.51809311,0.113
2582,8.49319458,0.05
2583,6.220031738,0.014
2584,8.050834656,0.097
2585,4.835540771,0
2586,9.457740784,0.046
2587,6.457489014,0.001
2588,6.704833984,0.033
2589,9.684463501,0.065
2590,0,0
2591,9.277359009,0.051
2592,10.51809311,0.113
2593,6.790222168,0
2594,7.413848877,0.017
2595,8.050834656,0.097
2596,5.629211426,0
2599,8.512573242,0.03
2600,10.51809311,0.113
2601,8.99887085,0.056
2602,6.220031738,0.014
2603,7.510253906,0.068
2604,6.457489014,0.001
2605,5.629211426,0
2606,7.413848877,0.017
2607,7.347808838,0.027
2608,8.186828613,0.06
2610,7.508117676,0.035
2611,6.790222168,0
2612,9.684463501,0.065
2613,8.29385376,0.03
2614,6.578826904,0
2615,9.536026001,0.065
2616,8.050834656,0.097
2617,6.704833984,0.033
2619,4.835540771,0
2620,10.51809311,0.113
2621,6.457489014,0.001
2622,9.457740784,0.046
2624,8.99887085,0.056
2626,6.578826904,0
2627,6.756286621,0
2628,9.457740784,0.046
2629,8.814735413,0.042
2630,1,0
2631,8.186828613,0.06
2632,6.756286621,0
2633,6.484161377,0.011
2634,6.220031738,0.014
2637,6.634094238,0.021
2638,7.6015625,0.256
2639,5.557861328,0
2640,6.965339661,0.065
2642,6.756286621,0
2643,5.557861328,0
2644,5.441162109,0
2645,5.872833252,0
2646,4.835540771,0
2647,8.186828613,0.06
2648,6.634094238,0.021
2649,4.835540771,0
2650,8.49319458,0.05
2653,9.536026001,0.065
2654,5.629211426,0
2655,8.49319458,0.05
2656,8.512573242,0.03
2657,9.505458832,0.052
2658,6.634094238,0.021
2659,4.896179199,0
2660,6.578826904,0
2661,4.896179199,0
2662,8.538284302,0.035
2664,6.965339661,0.065
2665,8.538284302,0.035
2666,8.29385376,0.03
2668,6.634094238,0.021
