"thunder","altDogID","altSireID","altDamID"
5,"R5583","R2534","R2800"
3,"R5585","R2534","R2800"
1,"R5586","R2534","R2800"
5,"R5588","R2534","R2800"
5,"R5594","R1667","R4105"
1,"R5596","R1667","R4105"
4,"R5597","R1667","R4105"
5,"R5599","R3148","R3831"
5,"R5602","R3148","R3831"
2,"R5603","R3148","R3831"
3,"R5606","R3148","R3831"
5,"R5610","R2553","R4440"
5,"R5612","R2553","R4440"
5,"R5615","R2553","R3745"
4,"R4982","R2608","R15454"
5,"R5617","R4240","R1595"
5,"R5618","R4240","R1595"
4,"R5619","R4240","R1595"
5,"R5620","R4240","R1595"
3,"R5626","R4240","R3607"
5,"R5627","R4240","R3607"
4,"R5629","R4240","R3607"
4,"R5632","R4240","R3607"
2,"R5635","R4240","R3607"
4,"R5636","R4240","R3607"
5,"R5644","R4639","R3639"
3,"R5646","R4639","R3639"
5,"R5647","R4639","R3639"
2,"R5648","R4639","R2552"
4,"R5650","R4639","R2552"
5,"R5651","R4639","R2552"
5,"R5654","R4639","R2552"
5,"R5659","R2608","R3640"
5,"R5663","R2608","R3640"
3,"R5666","R4639","R3830"
5,"R5671","R4240","R1957"
5,"R5672","R4240","R1957"
5,"R5675","R2553","R3391"
5,"R5676","R2553","R3391"
5,"R5677","R2553","R3391"
5,"R5678","R2553","R3391"
5,"R5679","R2553","R3391"
5,"R5680","R2553","R3391"
5,"R5682","R2534","R3774"
5,"R5683","R2534","R3774"
1,"R5684","R2534","R3774"
3,"R5686","R2534","R3774"
2,"R5689","R2534","R3774"
5,"R5690","R4639","R3696"
3,"R5691","R4639","R3696"
5,"R5692","R4639","R3696"
5,"R5693","R4639","R3696"
4,"R5694","R4639","R3696"
5,"R5695","R4639","R3696"
2,"R5697","R4639","R3696"
1,"R5701","R4639","R3696"
5,"R5703","R4661","R4582"
2,"R5705","R4661","R4582"
5,"R5710","R3148","R2475"
3,"R5711","R3148","R2475"
2,"R5713","R3148","R2475"
2,"R5714","R3148","R2475"
1,"R5717","R3148","R2475"
4,"R5638","R15467","R15466"
4,"R5720","R4639","R4655"
3,"R5723","R4639","R4655"
4,"R5729","R4240","R2359"
5,"R5732","R4240","R2359"
5,"R5735","R4661","R4591"
5,"R5736","R4661","R4591"
1,"R5742","R4661","R2075"
5,"R5743","R4661","R2075"
4,"R5747","R2534","R3990"
5,"R5751","R2534","R3990"
5,"R5759","R3248","R2662"
1,"R5760","R3248","R2662"
3,"R5761","R3248","R2662"
5,"R5762","R3148","R3998"
1,"R5767","R4240","R4630"
5,"R5768","R4240","R4630"
4,"R5769","R4240","R4630"
4,"R5770","R4240","R4630"
2,"R5772","R4240","R4630"
5,"R5776","R4504","R4726"
5,"R5777","R4504","R4726"
2,"R5781","R4504","R4726"
5,"R5782","R4504","R4726"
4,"R5783","R4504","R4726"
4,"R5785","R2553","R3667"
5,"R5786","R2553","R3667"
1,"R5787","R2553","R3667"
2,"R5788","R2553","R3667"
2,"R5790","R2553","R3667"
5,"R5791","R2553","R3667"
2,"R5792","R2553","R3667"
5,"R5793","R2553","R3667"
1,"R5800","R2608","R4507"
5,"R5801","R2608","R4507"
1,"R5803","R2608","R4507"
5,"R5805","R2608","R4507"
5,"R5806","R2608","R4507"
5,"R5812","R4639","R3638"
5,"R5813","R4639","R3638"
5,"R5814","R4639","R3638"
1,"R5815","R2534","R2489"
2,"R5818","R2534","R2489"
5,"R5821","R2534","R2489"
2,"R5822","R2534","R2489"
5,"R5826","R2553","R4574"
5,"R5827","R2553","R4574"
5,"R5828","R2553","R4574"
5,"R5829","R2553","R4574"
5,"R5830","R2553","R4574"
5,"R5834","R4639","R2476"
5,"R5836","R4639","R2476"
5,"R5838","R4639","R2476"
4,"R5841","R4240","R2488"
2,"R5844","R4240","R2488"
3,"R5845","R4240","R2488"
5,"R5846","R4240","R2488"
5,"R5849","R4639","R3775"
5,"R5851","R4639","R3775"
3,"R5852","R4639","R3775"
5,"R5854","R4639","R3775"
5,"R5855","R4639","R3775"
5,"R5857","R2553","R4636"
5,"R5858","R2553","R4636"
5,"R5861","R2553","R4636"
5,"R5863","R2553","R4636"
5,"R5864","R4240","R2960"
2,"R5865","R4240","R2960"
5,"R5866","R4240","R2960"
2,"R5868","R4240","R2960"
5,"R5869","R4240","R2960"
5,"R5870","R4240","R1467"
5,"R5871","R4240","R1467"
1,"R5874","R4240","R1467"
5,"R5876","R4240","R1467"
