"hipsofa","altDogID","altSireID","altDamID"
NA,"R643","R14683","R234"
5,"R2029","R14702","R216"
NA,"R5144","R2608","R2735"
7,"R2897","R1440","R1944"
NA,"R96","R19","R14584"
4,"R3154","R1377","R2075"
NA,"R2193","R258","R470"
6,"R644","R14683","R234"
6,"R727","R14715","R244"
7,"R2030","R14702","R216"
NA,"R870","R14576","R194"
NA,"R871","R14576","R194"
NA,"R1294","R622","R206"
7,"R1432","R14702","R185"
6,"R1433","R14702","R185"
6,"R872","R14576","R194"
6,"R4421","R799","R3086"
7,"R1622","R799","R200"
7,"R873","R14576","R194"
6,"R2437","R497","R1231"
7,"R1004","R165","R211"
6,"R1623","R799","R200"
NA,"R5146","R1667","R3990"
7,"R730","R14715","R245"
6,"R2438","R497","R1231"
7,"R4274","R2534","R3073"
4,"R1434","R14702","R185"
6,"R2439","R497","R1231"
6,"R308","R14552","R199"
6,"R1005","R165","R211"
NA,"R3040","R1943","R1231"
6,"R3156","R2079","R700"
NA,"R3041","R1943","R1231"
6,"R1139","R14608","R305"
NA,"R2313","R258","R175"
6,"R2631","R1831","R219"
7,"R1624","R799","R200"
4,"R2760","R14587","R1857"
6,"R1435","R14702","R185"
6,"R14788","R14734","R1129"
6,"R2194","R1377","R207"
6,"R3616","R190","R1232"
NA,"R4998","R2534","R3190"
7,"R2031","R14702","R1002"
6,"R460","R14552","R171"
6,"R3746","R2059","R1957"
7,"R1295","R622","R206"
7,"R2761","R14587","R1857"
6,"R1625","R799","R200"
5,"R731","R14715","R245"
6,"R3157","R2079","R700"
6,"R1140","R14608","R305"
7,"R2762","R14587","R1857"
7,"R3725","R2727","R2552"
5,"R4275","R2534","R3073"
NA,"R14789","R1497","R14649"
6,"R3042","R1943","R1231"
7,"R4564","R3608","R1660"
3,"R1141","R14608","R305"
7,"R4565","R3608","R1660"
7,"R1436","R14702","R185"
6,"R4730","R1215","R2941"
7,"R874","R14576","R194"
NA,"R611","R14608","R153"
5,"R2763","R14587","R1857"
NA,"R1902","R1003","R305"
6,"R2632","R1831","R219"
NA,"R5228","R2534","R2941"
7,"R1437","R14702","R185"
NA,"R309","R14552","R199"
5,"R1903","R1003","R305"
6,"R2764","R14587","R1857"
6,"R4999","R2534","R3190"
6,"R4017","R14598","R2475"
NA,"R4731","R1215","R2941"
6,"R3158","R2079","R700"
NA,"R3043","R1943","R1231"
6,"R461","R14552","R171"
6,"R2440","R497","R1231"
7,"R4566","R3608","R1660"
NA,"R1296","R622","R206"
NA,"R4018","R14598","R2475"
5,"R3543","R2534","R2058"
6,"R2441","R497","R1231"
NA,"R98","R45","R71"
5,"R4567","R3608","R1660"
7,"R3140","R449","R244"
6,"R2314","R258","R175"
6,"R5229","R2534","R2941"
7,"R4568","R3608","R1660"
6,"R2765","R14587","R1857"
7,"R4861","R2870","R3204"
7,"R1438","R14702","R185"
NA,"R14790","R1594","R14559"
7,"R1753","R622","R1007"
7,"R4569","R3608","R1660"
NA,"R462","R14552","R171"
6,"R5230","R2534","R2941"
NA,"R5147","R1667","R3990"
7,"R3747","R2059","R1957"
NA,"R4732","R1215","R2941"
7,"R2633","R1831","R219"
NA,"R3416","R2039","R305"
6,"R4733","R1215","R2941"
7,"R1439","R14702","R185"
NA,"R5231","R2534","R2941"
7,"R732","R14715","R245"
7,"R2195","R1377","R207"
NA,"R5232","R2534","R2941"
3,"R2442","R497","R1231"
7,"R2766","R14587","R1857"
6,"R3748","R2059","R1957"
7,"R3417","R2039","R305"
7,"R463","R14552","R171"
7,"R5360","R2553","R3732"
6,"R1754","R622","R1007"
6,"R5233","R2534","R2941"
7,"R3418","R2039","R305"
6,"R2634","R1831","R219"
3,"R733","R14715","R245"
7,"R3617","R190","R1232"
7,"R1904","R1003","R305"
NA,"R2767","R14587","R1857"
7,"R5000","R2534","R3190"
7,"R1626","R799","R200"
6,"R5234","R2534","R2941"
6,"R875","R14576","R194"
6,"R5001","R2534","R3190"
6,"R4019","R14598","R2475"
6,"R2898","R2059","R1593"
6,"R4612","R3466","R2670"
NA,"R2032","R14702","R1002"
1,"R1297","R622","R206"
6,"R4422","R799","R3086"
6,"R734","R14715","R245"
7,"R3419","R2039","R305"
6,"R310","R14552","R199"
6,"R1006","R165","R211"
5,"R735","R14715","R245"
6,"R3749","R2059","R1957"
6,"R1905","R1003","R305"
7,"R311","R14552","R199"
NA,"R3420","R2039","R305"
NA,"R14791","R16528","R16528"
7,"R4734","R1215","R2941"
7,"R3421","R2039","R305"
5,"R1142","R14608","R305"
7,"R1755","R622","R1007"
7,"R5148","R1667","R3990"
7,"R1143","R14608","R305"
6,"R3044","R1943","R1231"
7,"R2033","R14702","R1002"
6,"R2034","R14702","R1002"
7,"R3618","R190","R1232"
7,"R1906","R1003","R305"
6,"R1298","R622","R206"
6,"R2196","R1377","R207"
6,"R5002","R2534","R3190"
6,"R3045","R1943","R1231"
5,"R4020","R14598","R2475"
7,"R1144","R14608","R305"
NA,"R4129","R196","R1425"
7,"R3159","R2079","R700"
7,"R4021","R14598","R2475"
7,"R2035","R14702","R1002"
NA,"R5149","R1667","R3990"
6,"R1627","R799","R200"
5,"R464","R14552","R171"
6,"R2768","R14587","R1857"
7,"R1628","R799","R200"
7,"R3046","R1943","R1231"
7,"R465","R14552","R171"
7,"R5361","R2553","R3732"
6,"R4130","R196","R1425"
7,"R2036","R14702","R1002"
7,"R1145","R14608","R305"
6,"R466","R14552","R171"
5,"R4022","R14598","R2475"
5,"R2769","R14587","R1857"
6,"R4570","R3608","R1660"
3,"R4423","R799","R3086"
6,"R3544","R2534","R2058"
6,"R1299","R622","R206"
7,"R2315","R258","R175"
5,"R3545","R2534","R2058"
5,"R2899","R2059","R1593"
6,"R1146","R14608","R305"
7,"R5150","R1667","R3990"
NA,"R14792","R14586","R1901"
6,"R1907","R1003","R305"
NA,"R467","R14552","R171"
7,"R2316","R258","R175"
6,"R1629","R799","R200"
6,"R4276","R2534","R3073"
4,"R3160","R2079","R700"
5,"R736","R14715","R245"
7,"R2635","R1831","R219"
7,"R1908","R1003","R305"
6,"R4571","R3608","R1660"
NA,"R267","R14702","R132"
7,"R5362","R2553","R3732"
5,"R4277","R2534","R3073"
5,"R4023","R14598","R2475"
NA,"R4131","R196","R1425"
6,"R5235","R2534","R2941"
7,"R1756","R622","R1007"
5,"R468","R14552","R171"
6,"R4132","R196","R1425"
7,"R1757","R622","R1007"
7,"R4133","R196","R1425"
6,"R1147","R14608","R305"
7,"R3161","R2079","R700"
6,"R1909","R1003","R305"
7,"R4061","R1702","R1808"
7,"R3619","R190","R1232"
5,"R312","R14552","R199"
5,"R469","R14552","R171"
6,"R3546","R2534","R2058"
6,"R2037","R14702","R1002"
6,"R313","R14552","R199"
NA,"R14793","R1377","R14668"
NA,"R14794","R14711","R14602"
6,"R2443","R497","R1231"
NA,"R14795","R14552","R14604"
7,"R2900","R2059","R1593"
7,"R3162","R2079","R700"
6,"R3047","R1943","R1231"
6,"R4735","R1215","R2941"
NA,"R44","R22","R18"
6,"R5151","R1667","R3990"
5,"R3163","R2079","R700"
6,"R1910","R1003","R305"
6,"R2317","R258","R175"
NA,"R14796","R16528","R16528"
6,"R1630","R799","R200"
6,"R3048","R1943","R1231"
7,"R1631","R799","R200"
NA,"R4134","R196","R1425"
6,"R4736","R1215","R2941"
NA,"R737","R242","R189"
6,"R1009","R14721","R207"
NA,"R30","R22","R14677"
7,"R4864","R3148","R2552"
NA,"R250","R95","R193"
7,"R2446","R1377","R1000"
7,"R877","R258","R209"
6,"R3547","R14723","R2060"
6,"R1758","R622","R260"
NA,"R3293","R1377","R1917"
NA,"R3423","R196","R549"
5,"R2321","R1594","R648"
NA,"R87","R31","R25"
6,"R4737","R3466","R3246"
6,"R3424","R196","R549"
7,"R2322","R1594","R648"
7,"R738","R242","R189"
6,"R4865","R3148","R2552"
NA,"R5152","R2534","R3822"
7,"R1148","R14702","R370"
7,"R4025","R2870","R624"
5,"R656","R242","R218"
7,"R2040","R1214","R1067"
NA,"R5363","R2553","R1957"
NA,"R3750","R2079","R2595"
7,"R1301","R547","R624"
NA,"R78","R31","R11"
7,"R3548","R14723","R2060"
6,"R5236","R2534","R3988"
7,"R4137","R190","R2075"
6,"R1010","R14721","R207"
6,"R2447","R1377","R1000"
7,"R4026","R2870","R624"
NA,"R5364","R2553","R1957"
NA,"R4027","R2870","R624"
6,"R4426","R1215","R2080"
7,"R1011","R14721","R207"
5,"R3049","R1377","R498"
7,"R876","R258","R209"
7,"R2323","R1594","R648"
6,"R3294","R1377","R1917"
NA,"R5237","R2534","R3988"
6,"R4279","R2474","R1593"
7,"R4138","R190","R2075"
7,"R1302","R547","R624"
6,"R2198","R14702","R984"
5,"R1303","R547","R624"
7,"R739","R242","R189"
6,"R3164","R2059","R1212"
6,"R1149","R14702","R370"
7,"R1304","R547","R624"
6,"R4427","R1215","R2080"
6,"R3165","R2059","R1212"
5,"R314","R14552","R207"
NA,"R2324","R1594","R648"
7,"R4028","R2870","R624"
7,"R1759","R622","R1007"
6,"R657","R242","R218"
4,"R315","R14552","R207"
5,"R3295","R1377","R1917"
6,"R3751","R2079","R2595"
7,"R3752","R2079","R2595"
6,"R1012","R14721","R207"
4,"R1305","R547","R624"
7,"R2636","R799","R624"
6,"R4029","R2870","R624"
6,"R5238","R2534","R3988"
7,"R878","R258","R209"
6,"R3296","R1377","R1917"
6,"R14797","R1377","R1917"
NA,"R2901","R1695","R825"
6,"R658","R242","R218"
6,"R3297","R1377","R1917"
6,"R4428","R1215","R2080"
6,"R3166","R2059","R1212"
NA,"R14798","R14734","R14558"
NA,"R4738","R3466","R3246"
5,"R1911","R196","R1008"
7,"R740","R242","R189"
NA,"R879","R258","R209"
6,"R880","R258","R209"
NA,"R3549","R14723","R2060"
NA,"R3425","R196","R549"
3,"R2637","R799","R624"
4,"R1306","R547","R624"
6,"R4139","R190","R2075"
5,"R4429","R1215","R2080"
NA,"R4280","R2474","R1593"
7,"R5153","R2534","R3822"
NA,"R4866","R3148","R2552"
7,"R2448","R1377","R1000"
7,"R3550","R14723","R2060"
6,"R1013","R14721","R207"
NA,"R4739","R3466","R3246"
6,"R3167","R2059","R1212"
3,"R2449","R1377","R1000"
6,"R4430","R1215","R2080"
7,"R1307","R547","R624"
NA,"R4281","R2474","R1593"
5,"R316","R14552","R207"
7,"R3426","R196","R549"
5,"R881","R258","R209"
7,"R2902","R1695","R825"
6,"R2041","R1214","R1067"
NA,"R4867","R3148","R2552"
NA,"R4282","R2474","R1593"
6,"R2199","R14702","R984"
7,"R3427","R196","R549"
5,"R3753","R2079","R2595"
6,"R3050","R1377","R498"
7,"R4868","R3148","R2552"
7,"R1308","R547","R624"
7,"R2903","R1695","R825"
6,"R659","R242","R218"
6,"R4283","R2474","R1593"
7,"R4284","R2474","R1593"
NA,"R1912","R196","R1008"
6,"R741","R242","R189"
NA,"R4030","R2870","R624"
6,"R4140","R190","R2075"
6,"R2325","R1594","R648"
1,"R2042","R1214","R1067"
6,"R3168","R2059","R1212"
7,"R742","R242","R189"
2,"R2043","R1214","R1067"
6,"R3169","R2059","R1212"
6,"R4431","R1215","R2080"
6,"R660","R242","R218"
NA,"R103","R19","R40"
4,"R2770","R2015","R1544"
6,"R1760","R622","R260"
6,"R3428","R196","R549"
7,"R2450","R1377","R1000"
6,"R2771","R2015","R1544"
7,"R1309","R547","R624"
6,"R4031","R2870","R624"
NA,"R2772","R2015","R1544"
6,"R3429","R196","R549"
6,"R1913","R196","R1008"
NA,"R4285","R2474","R1593"
NA,"R4869","R3148","R2552"
NA,"R3298","R1377","R1917"
6,"R1150","R14702","R370"
6,"R317","R14552","R207"
3,"R2044","R1214","R1067"
NA,"R2904","R1695","R825"
6,"R3299","R1377","R1917"
7,"R1914","R196","R1008"
7,"R5006","R799","R3086"
7,"R3551","R14723","R2060"
NA,"R3430","R196","R549"
NA,"R2200","R14702","R984"
NA,"R4870","R3148","R2552"
7,"R661","R242","R218"
6,"R2451","R1377","R1000"
7,"R882","R258","R209"
7,"R5154","R2534","R3822"
6,"R4141","R190","R2075"
7,"R2905","R1695","R825"
NA,"R3754","R2079","R2595"
5,"R883","R258","R209"
6,"R2045","R1214","R1067"
6,"R5007","R799","R3086"
6,"R1761","R622","R260"
3,"R1014","R14721","R207"
6,"R318","R14552","R207"
6,"R2773","R2015","R1544"
6,"R4032","R2870","R624"
6,"R662","R242","R218"
6,"R3876","R2870","R2670"
7,"R3170","R2059","R1212"
NA,"R5239","R2534","R3988"
6,"R743","R242","R189"
NA,"R4286","R2474","R1593"
7,"R2774","R2015","R1544"
7,"R3552","R14723","R2060"
6,"R4432","R1215","R2080"
3,"R2452","R1377","R1000"
6,"R3300","R1377","R1917"
3,"R2638","R799","R624"
7,"R3755","R2079","R2595"
7,"R2775","R2015","R1544"
6,"R4433","R1215","R2080"
NA,"R3756","R2079","R2595"
6,"R3757","R2079","R2595"
6,"R5240","R2534","R3988"
NA,"R1151","R14702","R370"
6,"R2046","R1214","R1067"
7,"R1310","R547","R624"
7,"R3758","R2079","R2595"
NA,"R2906","R1695","R825"
6,"R663","R242","R218"
NA,"R2453","R1377","R1000"
6,"R884","R258","R209"
6,"R5155","R2534","R3822"
7,"R4142","R190","R2075"
7,"R664","R242","R218"
6,"R665","R242","R218"
6,"R666","R242","R218"
6,"R3301","R1377","R1917"
5,"R4434","R1215","R2080"
6,"R1152","R14702","R370"
6,"R2776","R2015","R1544"
NA,"R1015","R14721","R207"
6,"R1762","R622","R260"
5,"R2047","R1214","R1067"
6,"R885","R258","R209"
NA,"R3431","R196","R549"
6,"R2326","R1594","R648"
5,"R744","R242","R189"
7,"R3759","R2079","R2595"
6,"R3051","R1377","R498"
NA,"R5008","R799","R3086"
7,"R4143","R190","R2075"
NA,"R3553","R14723","R2060"
6,"R5365","R2553","R1957"
NA,"R4287","R2474","R1593"
2,"R2454","R1377","R1000"
NA,"R5241","R2534","R3988"
7,"R886","R258","R209"
6,"R1763","R622","R260"
6,"R3760","R2079","R2595"
6,"R4033","R2870","R624"
6,"R5242","R2534","R3988"
7,"R319","R14552","R207"
7,"R1311","R547","R624"
NA,"R1915","R196","R1008"
6,"R2327","R1594","R648"
6,"R5366","R2553","R1957"
NA,"R2328","R1594","R648"
NA,"R143","R22","R88"
6,"R1916","R196","R1008"
6,"R2639","R799","R624"
7,"R2329","R1594","R648"
6,"R3554","R14723","R2060"
NA,"R14799","R14681","R1130"
7,"R5009","R1667","R3306"
7,"R3155","R1377","R2075"
6,"R4144","R2870","R1959"
5,"R1764","R165","R259"
6,"R3956","R190","R1216"
6,"R5367","R2534","R1545"
7,"R5010","R1667","R3306"
7,"R2330","R258","R1002"
7,"R1154","R165","R215"
2,"R4288","R2870","R2374"
6,"R4435","R2059","R1127"
7,"R2201","R258","R612"
7,"R1918","R165","R700"
6,"R1155","R165","R215"
NA,"R2907","R196","R1895"
6,"R1448","R539","R650"
7,"R5368","R2534","R1545"
6,"R1156","R165","R215"
NA,"R5011","R1667","R3306"
7,"R2908","R196","R1895"
7,"R1919","R165","R700"
7,"R4768","R3608","R2958"
6,"R3620","R2870","R1659"
7,"R1318","R539","R228"
NA,"R320","R14552","R186"
NA,"R14800","R1702","R14666"
NA,"R2456","R258","R1565"
NA,"R4573","R3148","R1231"
6,"R1765","R165","R259"
6,"R1157","R165","R215"
NA,"R3432","R1377","R1857"
6,"R4871","R1738","R3696"
6,"R3889","R190","R1697"
5,"R321","R14552","R186"
6,"R5369","R2534","R1545"
NA,"R2457","R258","R1565"
NA,"R2909","R196","R1895"
6,"R3433","R1377","R1857"
6,"R1766","R165","R259"
5,"R3621","R2870","R1659"
6,"R2640","R1594","R700"
6,"R2331","R258","R1002"
5,"R652","R238","R226"
6,"R4436","R2059","R1127"
5,"R4872","R1738","R3696"
6,"R1767","R165","R259"
NA,"R4742","R2534","R3147"
6,"R1319","R539","R228"
6,"R472","R14675","R187"
7,"R2202","R258","R612"
NA,"R3434","R1377","R1857"
6,"R5370","R2534","R1545"
7,"R3890","R190","R1697"
6,"R1449","R539","R650"
NA,"R105","R72","R37"
6,"R1320","R539","R228"
6,"R4437","R2059","R1127"
6,"R3053","R1440","R1002"
6,"R2332","R258","R1002"
6,"R1450","R539","R650"
7,"R4034","R190","R2735"
7,"R4035","R190","R2735"
5,"R3171","R1214","R370"
NA,"R14801","R14577","R16528"
6,"R322","R14552","R186"
7,"R4036","R190","R2735"
6,"R2333","R258","R1002"
NA,"R4438","R2059","R1127"
5,"R1768","R165","R259"
6,"R2458","R258","R1565"
NA,"R3435","R1377","R1857"
5,"R1321","R539","R228"
5,"R2459","R258","R1565"
6,"R3302","R2319","R1409"
7,"R4145","R2870","R1959"
NA,"R5012","R1667","R3306"
6,"R4873","R1738","R3696"
6,"R4146","R2870","R1959"
7,"R4037","R190","R2735"
7,"R3172","R1214","R370"
6,"R4147","R2870","R1959"
7,"R3436","R1377","R1857"
6,"R2460","R258","R1565"
6,"R1451","R539","R650"
6,"R473","R14675","R187"
6,"R5371","R2534","R1545"
6,"R4874","R1738","R3696"
6,"R653","R238","R226"
NA,"R14802","R1377","R14656"
6,"R1632","R449","R479"
6,"R2334","R258","R1002"
6,"R4549","R3452","R3391"
6,"R887","R14715","R153"
6,"R3054","R1440","R1002"
7,"R1322","R539","R228"
NA,"R2641","R1594","R700"
NA,"R2203","R258","R612"
NA,"R4875","R1738","R3696"
6,"R4038","R190","R2735"
NA,"R2461","R258","R1565"
NA,"R654","R238","R226"
6,"R888","R14715","R153"
7,"R1920","R165","R700"
6,"R1769","R165","R259"
7,"R4148","R2870","R1959"
6,"R655","R238","R226"
NA,"R3303","R2319","R1409"
6,"R4743","R2534","R3147"
6,"R3437","R1377","R1857"
NA,"R4876","R1738","R3696"
NA,"R14803","R14702","R14699"
5,"R2642","R1594","R700"
NA,"R2462","R258","R1565"
7,"R3891","R190","R1697"
NA,"R251","R14676","R104"
6,"R3622","R2870","R1659"
6,"R323","R14552","R186"
NA,"R324","R14552","R186"
6,"R3304","R2319","R1409"
6,"R4574","R3148","R1231"
6,"R2204","R258","R612"
6,"R1158","R165","R215"
7,"R3128","R1831","R184"
7,"R1452","R539","R650"
7,"R4149","R2870","R1959"
7,"R3055","R1440","R1002"
3,"R325","R14552","R186"
6,"R4439","R2059","R1127"
7,"R4150","R2870","R1959"
6,"R14804","R14681","R1130"
7,"R326","R14552","R186"
5,"R4151","R2870","R1959"
6,"R2643","R1594","R700"
NA,"R4744","R2534","R3147"
NA,"R2463","R258","R1565"
NA,"R4877","R1738","R3696"
7,"R3623","R2870","R1659"
4,"R327","R14552","R186"
7,"R1633","R449","R479"
1,"R4289","R2870","R2374"
5,"R328","R14552","R186"
7,"R1770","R165","R259"
7,"R1159","R165","R215"
4,"R4290","R2870","R2374"
7,"R2464","R258","R1565"
NA,"R4575","R3148","R1231"
6,"R2465","R258","R1565"
6,"R5372","R2534","R1545"
7,"R3957","R190","R1216"
7,"R1160","R165","R215"
5,"R4878","R1738","R3696"
5,"R3892","R190","R1697"
NA,"R5373","R2534","R1545"
7,"R1921","R165","R700"
6,"R3893","R190","R1697"
7,"R4576","R3148","R1231"
NA,"R3624","R2870","R1659"
6,"R1771","R165","R259"
7,"R4039","R190","R2735"
NA,"R4879","R1738","R3696"
6,"R1453","R539","R650"
7,"R2335","R258","R1002"
6,"R474","R14675","R187"
7,"R3894","R190","R1697"
NA,"R2910","R196","R1895"
6,"R1922","R165","R700"
NA,"R4040","R190","R2735"
NA,"R5374","R2534","R1545"
7,"R3056","R1440","R1002"
6,"R1772","R165","R259"
NA,"R475","R14675","R187"
4,"R1923","R165","R700"
4,"R3438","R1377","R1857"
6,"R1454","R539","R650"
7,"R4152","R2870","R1959"
6,"R476","R14675","R187"
6,"R3057","R1440","R1002"
NA,"R14805","R16528","R16528"
7,"R3744","R2015","R2589"
6,"R1161","R165","R215"
7,"R1343","R14702","R213"
7,"R4153","R2870","R1959"
7,"R2205","R258","R612"
7,"R2336","R258","R1002"
6,"R3439","R1377","R1857"
NA,"R2206","R258","R612"
6,"R1162","R165","R215"
NA,"R4577","R3148","R1231"
6,"R1163","R165","R215"
6,"R1455","R539","R650"
3,"R4291","R2870","R2374"
NA,"R3625","R2870","R1659"
7,"R477","R14675","R187"
6,"R2207","R258","R612"
6,"R3870","R2870","R1378"
7,"R478","R14675","R187"
7,"R5013","R1667","R3306"
5,"R1773","R165","R259"
4,"R3626","R2870","R1659"
6,"R1924","R165","R700"
NA,"R4745","R2534","R3147"
6,"R1456","R539","R650"
7,"R1457","R539","R650"
6,"R4041","R190","R2735"
3,"R4292","R2870","R2374"
6,"R1164","R165","R215"
6,"R3305","R2319","R1409"
7,"R2208","R258","R612"
6,"R482","R95","R227"
7,"R4043","R2474","R2940"
6,"R3058","R2039","R1000"
NA,"R2048","R14702","R498"
NA,"R5014","R1377","R1536"
7,"R5156","R2059","R3902"
7,"R1459","R242","R612"
6,"R4880","R2059","R623"
6,"R3441","R14618","R1693"
6,"R2338","R1440","R1179"
6,"R329","R14715","R177"
7,"R2049","R14702","R498"
6,"R1017","R14702","R307"
6,"R3059","R2039","R1000"
6,"R4441","R3148","R2959"
6,"R4881","R2059","R623"
NA,"R4746","R3608","R1467"
6,"R3060","R2039","R1000"
5,"R5015","R1377","R1536"
6,"R330","R14715","R177"
7,"R1312","R14695","R226"
7,"R745","R14683","R253"
NA,"R746","R14683","R253"
7,"R14806","R258","R1700"
7,"R2050","R14702","R498"
6,"R4747","R3608","R1467"
6,"R4293","R1738","R3189"
NA,"R3895","R2474","R1007"
NA,"R4442","R3148","R2959"
6,"R1774","R14574","R174"
6,"R2644","R165","R1444"
7,"R1165","R14702","R188"
7,"R3173","R1831","R1425"
6,"R2645","R165","R1444"
NA,"R3442","R14618","R1693"
6,"R4294","R1738","R3189"
6,"R4113","R1377","R1086"
6,"R3174","R1831","R1425"
6,"R1166","R14702","R188"
5,"R5375","R2608","R3902"
6,"R3175","R1831","R1425"
5,"R1460","R242","R612"
6,"R2646","R165","R1444"
7,"R3307","R2059","R1536"
6,"R747","R14683","R253"
7,"R1313","R14695","R226"
5,"R483","R95","R227"
6,"R3176","R1831","R1425"
6,"R1461","R242","R612"
7,"R1314","R14695","R226"
4,"R4579","R1667","R2197"
NA,"R748","R14683","R253"
7,"R4295","R1738","R3189"
7,"R2777","R1695","R1179"
NA,"R1634","R14695","R215"
5,"R4882","R2059","R623"
6,"R1315","R14695","R226"
6,"R484","R95","R227"
7,"R3443","R14618","R1693"
7,"R2466","R1702","R1593"
6,"R667","R238","R211"
6,"R4154","R1702","R1232"
NA,"R2339","R1440","R1179"
NA,"R3627","R2526","R1067"
7,"R331","R14715","R177"
NA,"R4748","R3608","R1467"
5,"R4883","R2059","R623"
6,"R3444","R14618","R1693"
7,"R4443","R3148","R2959"
6,"R3061","R2039","R1000"
NA,"R5016","R1377","R1536"
NA,"R1167","R14702","R188"
NA,"R4444","R3148","R2959"
6,"R3177","R1831","R1425"
7,"R1775","R14574","R174"
6,"R3062","R2039","R1000"
5,"R332","R14715","R177"
5,"R1018","R14702","R307"
7,"R1635","R14695","R215"
7,"R5243","R258","R1700"
6,"R1636","R14695","R215"
5,"R4749","R3608","R1467"
1,"R4750","R3608","R1467"
6,"R1462","R242","R612"
6,"R5017","R1377","R1536"
7,"R3628","R2526","R1067"
NA,"R3896","R2474","R1007"
4,"R2647","R165","R1444"
6,"R1168","R14702","R188"
7,"R3178","R1831","R1425"
6,"R4296","R1738","R3189"
NA,"R14807","R1594","R14732"
7,"R2051","R14702","R498"
7,"R4155","R1702","R1232"
6,"R2209","R14695","R1008"
5,"R4710","R3148","R1536"
7,"R5376","R2608","R3902"
5,"R333","R14715","R177"
7,"R1463","R242","R612"
7,"R2210","R14695","R1008"
7,"R1019","R14702","R307"
3,"R485","R95","R227"
7,"R5157","R2059","R3902"
NA,"R14808","R14576","R16528"
6,"R3897","R2474","R1007"
7,"R1464","R242","R612"
6,"R3629","R2526","R1067"
5,"R1020","R14702","R307"
6,"R3063","R2039","R1000"
6,"R5244","R258","R1700"
6,"R4580","R1667","R2197"
6,"R1021","R14702","R307"
7,"R2467","R1702","R1593"
7,"R2468","R1702","R1593"
7,"R14809","R14618","R1131"
6,"R4581","R1667","R2197"
7,"R4297","R1738","R3189"
7,"R1465","R242","R612"
6,"R4298","R1738","R3189"
6,"R3179","R1831","R1425"
6,"R1022","R14702","R307"
5,"R1316","R14695","R226"
NA,"R4884","R2059","R623"
7,"R2469","R1702","R1593"
6,"R3064","R2039","R1000"
6,"R3898","R2474","R1007"
NA,"R486","R95","R227"
NA,"R5377","R2608","R3902"
7,"R1317","R14695","R226"
6,"R3065","R2039","R1000"
6,"R5018","R1377","R1536"
6,"R334","R14715","R177"
6,"R2648","R165","R1444"
NA,"R4299","R1738","R3189"
NA,"R14810","R16528","R16528"
NA,"R3630","R2526","R1067"
6,"R1776","R14574","R174"
NA,"R3899","R2474","R1007"
6,"R3308","R2059","R1536"
6,"R5378","R2608","R3902"
6,"R2052","R14702","R498"
6,"R2470","R1702","R1593"
NA,"R14811","R1377","R1536"
7,"R1637","R14695","R215"
6,"R4885","R2059","R623"
5,"R335","R14715","R177"
6,"R2471","R1702","R1593"
NA,"R1638","R14695","R215"
7,"R487","R95","R227"
7,"R5158","R2059","R3902"
7,"R1169","R14702","R188"
5,"R2053","R14702","R498"
6,"R3631","R2526","R1067"
6,"R2911","R196","R1895"
6,"R749","R14683","R253"
7,"R2211","R14695","R1008"
6,"R3180","R1831","R1425"
NA,"R4751","R3608","R1467"
6,"R750","R14683","R253"
7,"R1777","R14574","R174"
6,"R4445","R3148","R2959"
5,"R2649","R165","R1444"
NA,"R488","R95","R227"
7,"R4582","R1667","R2197"
5,"R2650","R165","R1444"
7,"R3309","R2059","R1536"
NA,"R4752","R3608","R1467"
7,"R3632","R2526","R1067"
6,"R4300","R1738","R3189"
6,"R3445","R14618","R1693"
7,"R5245","R258","R1700"
3,"R3633","R2526","R1067"
6,"R4446","R3148","R2959"
NA,"R5246","R258","R1700"
3,"R336","R14715","R177"
6,"R3446","R14618","R1693"
7,"R5247","R258","R1700"
7,"R3447","R14618","R1693"
6,"R4301","R1738","R3189"
5,"R2054","R14702","R498"
3,"R2212","R14695","R1008"
NA,"R5159","R2059","R3902"
6,"R3448","R14618","R1693"
NA,"R5379","R2608","R3902"
7,"R5160","R2059","R3902"
6,"R2651","R165","R1444"
NA,"R5019","R1377","R1536"
4,"R3761","R2526","R2074"
6,"R1170","R14702","R188"
6,"R2652","R165","R1444"
NA,"R668","R238","R211"
6,"R5161","R2059","R3902"
6,"R5162","R2059","R3902"
2,"R2912","R1377","R1007"
5,"R337","R14715","R177"
7,"R3634","R2526","R1067"
6,"R3181","R1831","R1425"
6,"R5380","R2608","R3902"
NA,"R2472","R1702","R1593"
6,"R3762","R2526","R2074"
6,"R1778","R14574","R174"
7,"R2473","R1702","R1593"
7,"R3635","R2526","R1067"
7,"R1779","R14574","R174"
6,"R2913","R1377","R1007"
7,"R751","R14683","R253"
6,"R4302","R1738","R3189"
7,"R1780","R14574","R174"
6,"R3182","R1831","R1425"
7,"R1639","R14695","R215"
NA,"R669","R14702","R232"
NA,"R338","R14568","R209"
6,"R670","R14702","R232"
NA,"R489","R168","R16528"
7,"R5020","R1667","R2933"
6,"R671","R14702","R232"
7,"R752","R14568","R215"
NA,"R14812","R1831","R14725"
NA,"R5249","R4174","R3147"
6,"R4156","R3148","R1498"
7,"R1781","R14711","R216"
7,"R1024","R14561","R222"
NA,"R101","R19","R67"
NA,"R2778","R1831","R226"
7,"R2653","R1594","R1212"
5,"R5164","R2534","R4265"
7,"R3449","R2079","R2378"
6,"R2654","R1594","R1212"
