"dog_GenerationCoefficient","dog_InbreedingCoefficient","altDogID"
5.201538086,0,"R463"
9.472766876,0.053,"R5360"
6.518722534,0.013,"R1754"
10.2520752,0.136,"R5233"
6.388458252,0,"R3418"
7.505249023,0.059,"R2634"
4.25,0.001,"R733"
8.920761108,0.057,"R3617"
6.431793213,0,"R1904"
5.839416504,0,"R2767"
10.14019775,0.083,"R5000"
9.436279297,0.081,"R1626"
10.2520752,0.136,"R5234"
4.393188477,0,"R875"
10.14019775,0.083,"R5001"
8.130645752,0.007,"R4019"
8.956001282,0.078,"R2898"
8.80398941,0.023,"R4612"
6.963043213,0.035,"R2032"
5.722961426,0.006,"R1297"
9.0574646,0.031,"R4422"
4.25,0.001,"R734"
6.388458252,0,"R3419"
5.46194458,0,"R310"
7.863586426,0,"R1006"
4.25,0.001,"R735"
8.614479065,0.065,"R3749"
6.431793213,0,"R1905"
5.46194458,0,"R311"
6.388458252,0,"R3420"
0,0,"R14798"
7.855503082,0.033,"R4734"
6.388458252,0,"R3421"
4.9375,0,"R1142"
6.518722534,0.013,"R1755"
9.029457092,0.052,"R5148"
4.9375,0,"R1143"
7.595809937,0.094,"R3044"
6.963043213,0.035,"R2033"
6.963043213,0.035,"R2034"
8.920761108,0.057,"R3618"
6.431793213,0,"R1906"
5.722961426,0.006,"R1298"
7.879272461,0.013,"R2196"
10.14019775,0.083,"R5002"
7.595809937,0.094,"R3045"
8.130645752,0.007,"R4020"
4.9375,0,"R1144"
9.672622681,0.091,"R4129"
8.369995117,0.033,"R3159"
8.130645752,0.007,"R4021"
6.963043213,0.035,"R2035"
9.029457092,0.052,"R5149"
9.436279297,0.081,"R1627"
5.201538086,0,"R464"
5.839416504,0,"R2768"
9.436279297,0.081,"R1628"
7.595809937,0.094,"R3046"
5.201538086,0,"R465"
9.472766876,0.053,"R5361"
9.672622681,0.091,"R4130"
6.963043213,0.035,"R2036"
4.9375,0,"R1145"
5.201538086,0,"R466"
8.130645752,0.007,"R4022"
5.839416504,0,"R2769"
9.427810669,0.113,"R4570"
9.0574646,0.031,"R4423"
9.361911774,0.033,"R3544"
5.722961426,0.006,"R1299"
8.960083008,0.088,"R2315"
9.361911774,0.033,"R3545"
8.956001282,0.078,"R2899"
4.9375,0,"R1146"
9.029457092,0.052,"R5150"
6.29296875,0.111,"R14799"
6.431793213,0,"R1907"
5.201538086,0,"R467"
8.960083008,0.088,"R2316"
9.436279297,0.081,"R1629"
9.652439117,0.087,"R4276"
8.369995117,0.033,"R3160"
4.25,0.001,"R736"
7.505249023,0.059,"R2635"
6.431793213,0,"R1908"
9.427810669,0.113,"R4571"
5.631225586,0,"R267"
9.472766876,0.053,"R5362"
9.652439117,0.087,"R4277"
8.130645752,0.007,"R4023"
9.672622681,0.091,"R4131"
10.2520752,0.136,"R5235"
6.518722534,0.013,"R1756"
5.201538086,0,"R468"
9.672622681,0.091,"R4132"
6.518722534,0.013,"R1757"
9.672622681,0.091,"R4133"
4.9375,0,"R1147"
8.369995117,0.033,"R3161"
6.431793213,0,"R1909"
10.08959198,0.116,"R4061"
8.920761108,0.057,"R3619"
5.46194458,0,"R312"
5.201538086,0,"R469"
9.361911774,0.033,"R3546"
6.963043213,0.035,"R2037"
5.46194458,0,"R313"
7.391357422,0.042,"R14800"
4.993896484,0,"R14801"
7.668930054,0.026,"R2443"
3.425292969,0,"R14802"
8.956001282,0.078,"R2900"
8.369995117,0.033,"R3162"
7.595809937,0.094,"R3047"
7.855503082,0.033,"R4735"
7.6015625,0.256,"R44"
9.029457092,0.052,"R5151"
8.369995117,0.033,"R3163"
6.431793213,0,"R1910"
8.960083008,0.088,"R2317"
0,0,"R14803"
9.436279297,0.081,"R1630"
7.595809937,0.094,"R3048"
9.436279297,0.081,"R1631"
9.672622681,0.091,"R4134"
7.855503082,0.033,"R4736"
5.428222656,0,"R737"
4.972381592,0,"R1009"
7.6015625,0.256,"R30"
8.966041565,0.05,"R4864"
8.243774414,0.072,"R250"
7.838684082,0.02,"R2446"
8.368560791,0.045,"R877"
6.285652161,0.028,"R3547"
7.428710938,0.019,"R1758"
7.264465332,0.014,"R3293"
9.856430054,0.144,"R3423"
9.127838135,0.067,"R2321"
8.106445313,0.21,"R87"
10.33847046,0.057,"R4737"
9.856430054,0.144,"R3424"
9.127838135,0.067,"R2322"
5.428222656,0,"R738"
8.966041565,0.05,"R4865"
9.999736786,0.076,"R5152"
6.440063477,0.003,"R1148"
7.562057495,0.019,"R4025"
4.835540771,0,"R656"
7.605041504,0,"R2040"
8.969978333,0.057,"R5363"
8.954891205,0.061,"R3750"
8.150375366,0.025,"R1301"
7.655273438,0.172,"R78"
6.285652161,0.028,"R3548"
9.931339264,0.09,"R5236"
9.342987061,0.112,"R4137"
4.972381592,0,"R1010"
7.838684082,0.02,"R2447"
7.562057495,0.019,"R4026"
8.969978333,0.057,"R5364"
7.562057495,0.019,"R4027"
7.154846191,0.033,"R4426"
4.972381592,0,"R1011"
5.406890869,0,"R3049"
8.368560791,0.045,"R876"
9.127838135,0.067,"R2323"
7.264465332,0.014,"R3294"
9.931339264,0.09,"R5237"
9.798839569,0.101,"R4279"
9.342987061,0.112,"R4138"
8.150375366,0.025,"R1302"
6.538208008,0.035,"R2198"
8.150375366,0.025,"R1303"
5.428222656,0,"R739"
6.965339661,0.065,"R3164"
6.440063477,0.003,"R1149"
8.150375366,0.025,"R1304"
7.154846191,0.033,"R4427"
6.965339661,0.065,"R3165"
4.972381592,0,"R314"
9.127838135,0.067,"R2324"
7.562057495,0.019,"R4028"
6.518722534,0.013,"R1759"
4.835540771,0,"R657"
4.972381592,0,"R315"
7.264465332,0.014,"R3295"
8.954891205,0.061,"R3751"
8.954891205,0.061,"R3752"
4.972381592,0,"R1012"
8.150375366,0.025,"R1305"
8.512573242,0.03,"R2636"
7.562057495,0.019,"R4029"
9.931339264,0.09,"R5238"
8.368560791,0.045,"R878"
7.264465332,0.014,"R3296"
7.264465332,0.014,"R14804"
5.774078369,0.029,"R2901"
4.835540771,0,"R658"
7.264465332,0.014,"R3297"
7.154846191,0.033,"R4428"
6.965339661,0.065,"R3166"
4.9375,0,"R14805"
10.33847046,0.057,"R4738"
8.224777222,0.093,"R1911"
5.428222656,0,"R740"
8.368560791,0.045,"R879"
8.368560791,0.045,"R880"
6.285652161,0.028,"R3549"
9.856430054,0.144,"R3425"
8.512573242,0.03,"R2637"
8.150375366,0.025,"R1306"
9.342987061,0.112,"R4139"
7.154846191,0.033,"R4429"
9.798839569,0.101,"R4280"
9.999736786,0.076,"R5153"
8.966041565,0.05,"R4866"
7.838684082,0.02,"R2448"
6.285652161,0.028,"R3550"
4.972381592,0,"R1013"
10.33847046,0.057,"R4739"
6.965339661,0.065,"R3167"
7.838684082,0.02,"R2449"
7.154846191,0.033,"R4430"
8.150375366,0.025,"R1307"
9.798839569,0.101,"R4281"
4.972381592,0,"R316"
9.856430054,0.144,"R3426"
8.368560791,0.045,"R881"
5.774078369,0.029,"R2902"
7.605041504,0,"R2041"
8.966041565,0.05,"R4867"
9.798839569,0.101,"R4282"
6.538208008,0.035,"R2199"
9.856430054,0.144,"R3427"
8.954891205,0.061,"R3753"
5.406890869,0,"R3050"
8.966041565,0.05,"R4868"
8.150375366,0.025,"R1308"
5.774078369,0.029,"R2903"
4.835540771,0,"R659"
9.798839569,0.101,"R4283"
9.798839569,0.101,"R4284"
8.224777222,0.093,"R1912"
5.428222656,0,"R741"
7.562057495,0.019,"R4030"
9.342987061,0.112,"R4140"
9.127838135,0.067,"R2325"
7.605041504,0,"R2042"
6.965339661,0.065,"R3168"
5.428222656,0,"R742"
7.605041504,0,"R2043"
6.965339661,0.065,"R3169"
7.154846191,0.033,"R4431"
4.835540771,0,"R660"
7.65234375,0.179,"R103"
8.547927856,0.057,"R2770"
7.428710938,0.019,"R1760"
9.856430054,0.144,"R3428"
7.838684082,0.02,"R2450"
8.547927856,0.057,"R2771"
8.150375366,0.025,"R1309"
7.562057495,0.019,"R4031"
8.547927856,0.057,"R2772"
9.856430054,0.144,"R3429"
8.224777222,0.093,"R1913"
9.798839569,0.101,"R4285"
8.966041565,0.05,"R4869"
7.264465332,0.014,"R3298"
6.440063477,0.003,"R1150"
4.972381592,0,"R317"
7.605041504,0,"R2044"
5.774078369,0.029,"R2904"
7.264465332,0.014,"R3299"
8.224777222,0.093,"R1914"
9.0574646,0.031,"R5006"
6.285652161,0.028,"R3551"
9.856430054,0.144,"R3430"
6.538208008,0.035,"R2200"
8.966041565,0.05,"R4870"
4.835540771,0,"R661"
7.838684082,0.02,"R2451"
8.368560791,0.045,"R882"
9.999736786,0.076,"R5154"
9.342987061,0.112,"R4141"
5.774078369,0.029,"R2905"
8.954891205,0.061,"R3754"
8.368560791,0.045,"R883"
7.605041504,0,"R2045"
9.0574646,0.031,"R5007"
7.428710938,0.019,"R1761"
4.972381592,0,"R1014"
4.972381592,0,"R318"
8.547927856,0.057,"R2773"
7.562057495,0.019,"R4032"
4.835540771,0,"R662"
8.041145325,0.01,"R3876"
6.965339661,0.065,"R3170"
9.931339264,0.09,"R5239"
5.428222656,0,"R743"
9.798839569,0.101,"R4286"
8.547927856,0.057,"R2774"
6.285652161,0.028,"R3552"
7.154846191,0.033,"R4432"
7.838684082,0.02,"R2452"
7.264465332,0.014,"R3300"
8.512573242,0.03,"R2638"
8.954891205,0.061,"R3755"
8.547927856,0.057,"R2775"
7.154846191,0.033,"R4433"
8.954891205,0.061,"R3756"
8.954891205,0.061,"R3757"
9.931339264,0.09,"R5240"
6.440063477,0.003,"R1151"
7.605041504,0,"R2046"
8.150375366,0.025,"R1310"
8.954891205,0.061,"R3758"
5.774078369,0.029,"R2906"
4.835540771,0,"R663"
7.838684082,0.02,"R2453"
8.368560791,0.045,"R884"
9.999736786,0.076,"R5155"
9.342987061,0.112,"R4142"
4.835540771,0,"R664"
4.835540771,0,"R665"
4.835540771,0,"R666"
7.264465332,0.014,"R3301"
7.154846191,0.033,"R4434"
6.440063477,0.003,"R1152"
8.547927856,0.057,"R2776"
4.972381592,0,"R1015"
7.428710938,0.019,"R1762"
7.605041504,0,"R2047"
8.368560791,0.045,"R885"
9.856430054,0.144,"R3431"
9.127838135,0.067,"R2326"
5.428222656,0,"R744"
8.954891205,0.061,"R3759"
5.406890869,0,"R3051"
9.0574646,0.031,"R5008"
9.342987061,0.112,"R4143"
6.285652161,0.028,"R3553"
8.969978333,0.057,"R5365"
9.798839569,0.101,"R4287"
7.838684082,0.02,"R2454"
9.931339264,0.09,"R5241"
7.562057495,0.019,"R14806"
8.368560791,0.045,"R886"
7.428710938,0.019,"R1763"
8.954891205,0.061,"R3760"
7.562057495,0.019,"R4033"
9.931339264,0.09,"R5242"
4.972381592,0,"R319"
8.150375366,0.025,"R1311"
8.224777222,0.093,"R1915"
9.127838135,0.067,"R2327"
8.969978333,0.057,"R5366"
9.127838135,0.067,"R2328"
7.962402344,0.206,"R143"
8.224777222,0.093,"R1916"
8.512573242,0.03,"R2639"
9.127838135,0.067,"R2329"
6.285652161,0.028,"R3554"
7.073791504,0.005,"R14807"
8.850559235,0.049,"R5009"
7.821655273,0.042,"R3155"
8.444290161,0.027,"R4144"
6.630554199,0.001,"R1764"
7.693847656,0,"R3956"
9.662899017,0.133,"R5367"
8.850559235,0.049,"R5010"
8.327972412,0.046,"R2330"
8.032562256,0,"R1154"
8.806854248,0.049,"R4288"
9.179756165,0.043,"R4435"
8.193756104,0.045,"R2201"
6.715148926,0,"R1918"
8.032562256,0,"R1155"
9.00769043,0.042,"R2907"
6.387176514,0.003,"R1448"
9.662899017,0.133,"R5368"
8.032562256,0,"R1156"
8.850559235,0.049,"R5011"
9.00769043,0.042,"R2908"
6.715148926,0,"R1919"
10.08203888,0.085,"R4768"
8.285171509,0.033,"R3620"
6.143798828,0.006,"R1318"
4.251342773,0,"R320"
7.006340027,0,"R14808"
8.484222412,0.081,"R2456"
8.403366089,0.069,"R4573"
6.630554199,0.001,"R1765"
8.032562256,0,"R1157"
8.246307373,0.015,"R3432"
8.837064743,0.075,"R4871"
8.585113525,0.023,"R3889"
4.251342773,0,"R321"
9.662899017,0.133,"R5369"
8.484222412,0.081,"R2457"
9.00769043,0.042,"R2909"
8.246307373,0.015,"R3433"
6.630554199,0.001,"R1766"
8.285171509,0.033,"R3621"
8.737060547,0.05,"R2640"
8.327972412,0.046,"R2331"
7.743103027,0.039,"R652"
9.179756165,0.043,"R4436"
8.837064743,0.075,"R4872"
6.630554199,0.001,"R1767"
9.57302475,0.053,"R4742"
6.143798828,0.006,"R1319"
5.441162109,0,"R472"
8.193756104,0.045,"R2202"
8.246307373,0.015,"R3434"
9.662899017,0.133,"R5370"
8.585113525,0.023,"R3890"
6.387176514,0.003,"R1449"
8.554443359,0.204,"R105"
6.143798828,0.006,"R1320"
9.179756165,0.043,"R4437"
8.46131897,0.028,"R3053"
8.327972412,0.046,"R2332"
6.387176514,0.003,"R1450"
9.52514267,0.106,"R4034"
9.52514267,0.106,"R4035"
6.674438477,0.001,"R3171"
1,0,"R14809"
4.251342773,0,"R322"
9.52514267,0.106,"R4036"
8.327972412,0.046,"R2333"
9.179756165,0.043,"R4438"
6.630554199,0.001,"R1768"
8.484222412,0.081,"R2458"
8.246307373,0.015,"R3435"
6.143798828,0.006,"R1321"
8.484222412,0.081,"R2459"
8.551986694,0.036,"R3302"
8.444290161,0.027,"R4145"
8.850559235,0.049,"R5012"
8.837064743,0.075,"R4873"
8.444290161,0.027,"R4146"
9.52514267,0.106,"R4037"
6.674438477,0.001,"R3172"
8.444290161,0.027,"R4147"
8.246307373,0.015,"R3436"
8.484222412,0.081,"R2460"
6.387176514,0.003,"R1451"
5.441162109,0,"R473"
9.662899017,0.133,"R5371"
8.837064743,0.075,"R4874"
7.743103027,0.039,"R653"
7.381286621,0.035,"R14810"
6.614379883,0.001,"R1632"
8.327972412,0.046,"R2334"
9.033336639,0.039,"R4549"
5.589111328,0,"R887"
8.46131897,0.028,"R3054"
6.143798828,0.006,"R1322"
8.737060547,0.05,"R2641"
8.193756104,0.045,"R2203"
8.837064743,0.075,"R4875"
9.52514267,0.106,"R4038"
8.484222412,0.081,"R2461"
7.743103027,0.039,"R654"
5.589111328,0,"R888"
6.715148926,0,"R1920"
6.630554199,0.001,"R1769"
8.444290161,0.027,"R4148"
7.743103027,0.039,"R655"
8.551986694,0.036,"R3303"
9.57302475,0.053,"R4743"
8.246307373,0.015,"R3437"
8.837064743,0.075,"R4876"
3.03125,0,"R14811"
8.737060547,0.05,"R2642"
8.484222412,0.081,"R2462"
8.585113525,0.023,"R3891"
5.27722168,0,"R251"
8.285171509,0.033,"R3622"
4.251342773,0,"R323"
4.251342773,0,"R324"
8.551986694,0.036,"R3304"
8.403366089,0.069,"R4574"
8.193756104,0.045,"R2204"
8.032562256,0,"R1158"
5.872833252,0,"R3128"
6.387176514,0.003,"R1452"
8.444290161,0.027,"R4149"
8.46131897,0.028,"R3055"
4.251342773,0,"R325"
9.179756165,0.043,"R4439"
8.444290161,0.027,"R4150"
7.073791504,0.005,"R14812"
4.251342773,0,"R326"
8.444290161,0.027,"R4151"
8.737060547,0.05,"R2643"
9.57302475,0.053,"R4744"
8.484222412,0.081,"R2463"
8.837064743,0.075,"R4877"
8.285171509,0.033,"R3623"
4.251342773,0,"R327"
6.614379883,0.001,"R1633"
8.806854248,0.049,"R4289"
4.251342773,0,"R328"
6.630554199,0.001,"R1770"
8.032562256,0,"R1159"
8.806854248,0.049,"R4290"
8.484222412,0.081,"R2464"
8.403366089,0.069,"R4575"
8.484222412,0.081,"R2465"
9.662899017,0.133,"R5372"
7.693847656,0,"R3957"
8.032562256,0,"R1160"
8.837064743,0.075,"R4878"
8.585113525,0.023,"R3892"
9.662899017,0.133,"R5373"
6.715148926,0,"R1921"
8.585113525,0.023,"R3893"
8.403366089,0.069,"R4576"
8.285171509,0.033,"R3624"
6.630554199,0.001,"R1771"
9.52514267,0.106,"R4039"
8.837064743,0.075,"R4879"
6.387176514,0.003,"R1453"
8.327972412,0.046,"R2335"
5.441162109,0,"R474"
8.585113525,0.023,"R3894"
9.00769043,0.042,"R2910"
6.715148926,0,"R1922"
9.52514267,0.106,"R4040"
9.662899017,0.133,"R5374"
8.46131897,0.028,"R3056"
6.630554199,0.001,"R1772"
5.441162109,0,"R475"
6.715148926,0,"R1923"
8.246307373,0.015,"R3438"
6.387176514,0.003,"R1454"
8.444290161,0.027,"R4152"
5.441162109,0,"R476"
8.46131897,0.028,"R3057"
0,0,"R14813"
7.898345947,0.059,"R3744"
8.032562256,0,"R1161"
7.829437256,0,"R1343"
8.444290161,0.027,"R4153"
8.193756104,0.045,"R2205"
8.327972412,0.046,"R2336"
8.246307373,0.015,"R3439"
8.193756104,0.045,"R2206"
8.032562256,0,"R1162"
8.403366089,0.069,"R4577"
8.032562256,0,"R1163"
6.387176514,0.003,"R1455"
8.806854248,0.049,"R4291"
8.285171509,0.033,"R3625"
5.441162109,0,"R477"
8.193756104,0.045,"R2207"
7.436416626,0.02,"R3870"
5.441162109,0,"R478"
8.850559235,0.049,"R5013"
6.630554199,0.001,"R1773"
8.285171509,0.033,"R3626"
6.715148926,0,"R1924"
9.57302475,0.053,"R4745"
6.387176514,0.003,"R1456"
6.387176514,0.003,"R1457"
9.52514267,0.106,"R4041"
8.806854248,0.049,"R4292"
8.032562256,0,"R1164"
8.551986694,0.036,"R3305"
8.193756104,0.045,"R2208"
8.478759766,0.108,"R482"
10.13243103,0.088,"R4043"
8.820251465,0.051,"R3058"
4.53125,0,"R2048"
7.387664795,0.01,"R5014"
9.419631958,0.034,"R5156"
4.797576904,0,"R1459"
7.732246399,0.174,"R4880"
6.328765869,0.016,"R3441"
7.844802856,0.035,"R2338"
7.352722168,0.001,"R329"
4.53125,0,"R2049"
5.517440796,0.006,"R1017"
8.820251465,0.051,"R3059"
9.320701599,0.055,"R4441"
7.732246399,0.174,"R4881"
9.225128174,0.041,"R4746"
8.820251465,0.051,"R3060"
7.387664795,0.01,"R5015"
7.352722168,0.001,"R330"
7.370361328,0.01,"R1312"
5.393188477,0,"R745"
5.393188477,0,"R746"
9.324394226,0.093,"R14814"
4.53125,0,"R2050"
9.225128174,0.041,"R4747"
8.905521393,0.062,"R4293"
8.028743744,0.04,"R3895"
9.320701599,0.055,"R4442"
5.563903809,0,"R1774"
6.763900757,0.002,"R2644"
7.472412109,0,"R1165"
7.603744507,0.037,"R3173"
6.763900757,0.002,"R2645"
6.328765869,0.016,"R3442"
8.905521393,0.062,"R4294"
7.907546997,0.013,"R4113"
7.603744507,0.037,"R3174"
7.472412109,0,"R1166"
9.68737793,0.044,"R5375"
7.603744507,0.037,"R3175"
4.797576904,0,"R1460"
6.763900757,0.002,"R2646"
8.180488586,0.022,"R3307"
5.393188477,0,"R747"
7.370361328,0.01,"R1313"
8.478759766,0.108,"R483"
7.603744507,0.037,"R3176"
4.797576904,0,"R1461"
7.370361328,0.01,"R1314"
8.857192993,0.078,"R4579"
5.393188477,0,"R748"
8.905521393,0.062,"R4295"
7.472167969,0.034,"R2777"
8.540374756,0,"R1634"
7.732246399,0.174,"R4882"
7.370361328,0.01,"R1315"
8.478759766,0.108,"R484"
6.328765869,0.016,"R3443"
10.18450165,0.111,"R2466"
8.744140625,0.091,"R667"
9.420753479,0.069,"R4154"
7.844802856,0.035,"R2339"
9.069343567,0.054,"R3627"
7.352722168,0.001,"R331"
9.225128174,0.041,"R4748"
7.732246399,0.174,"R4883"
6.328765869,0.016,"R3444"
9.320701599,0.055,"R4443"
8.820251465,0.051,"R3061"
7.387664795,0.01,"R5016"
7.472412109,0,"R1167"
9.320701599,0.055,"R4444"
7.603744507,0.037,"R3177"
5.563903809,0,"R1775"
8.820251465,0.051,"R3062"
7.352722168,0.001,"R332"
5.517440796,0.006,"R1018"
8.540374756,0,"R1635"
9.324394226,0.093,"R5243"
8.540374756,0,"R1636"
9.225128174,0.041,"R4749"
9.225128174,0.041,"R4750"
4.797576904,0,"R1462"
7.387664795,0.01,"R5017"
9.069343567,0.054,"R3628"
8.028743744,0.04,"R3896"
6.763900757,0.002,"R2647"
7.472412109,0,"R1168"
7.603744507,0.037,"R3178"
8.905521393,0.062,"R4296"
6.904724121,0.007,"R14815"
4.53125,0,"R2051"
9.420753479,0.069,"R4155"
6.228378296,0.006,"R2209"
8.391601563,0.036,"R4710"
9.68737793,0.044,"R5376"
7.352722168,0.001,"R333"
4.797576904,0,"R1463"
6.228378296,0.006,"R2210"
5.517440796,0.006,"R1019"
8.478759766,0.108,"R485"
9.419631958,0.034,"R5157"
1,0,"R14816"
8.028743744,0.04,"R3897"
4.797576904,0,"R1464"
9.069343567,0.054,"R3629"
5.517440796,0.006,"R1020"
8.820251465,0.051,"R3063"
9.324394226,0.093,"R5244"
8.857192993,0.078,"R4580"
5.517440796,0.006,"R1021"
10.18450165,0.111,"R2467"
10.18450165,0.111,"R2468"
7.651916504,0.004,"R14817"
8.857192993,0.078,"R4581"
8.905521393,0.062,"R4297"
4.797576904,0,"R1465"
8.905521393,0.062,"R4298"
7.603744507,0.037,"R3179"
5.517440796,0.006,"R1022"
7.370361328,0.01,"R1316"
7.732246399,0.174,"R4884"
10.18450165,0.111,"R2469"
8.820251465,0.051,"R3064"
8.028743744,0.04,"R3898"
8.478759766,0.108,"R486"
9.68737793,0.044,"R5377"
7.370361328,0.01,"R1317"
8.820251465,0.051,"R3065"
7.387664795,0.01,"R5018"
7.352722168,0.001,"R334"
6.763900757,0.002,"R2648"
8.905521393,0.062,"R4299"
0,0,"R14818"
9.069343567,0.054,"R3630"
5.563903809,0,"R1776"
8.028743744,0.04,"R3899"
8.180488586,0.022,"R3308"
9.68737793,0.044,"R5378"
4.53125,0,"R2052"
10.18450165,0.111,"R2470"
7.387664795,0.01,"R14819"
8.540374756,0,"R1637"
7.732246399,0.174,"R4885"
7.352722168,0.001,"R335"
10.18450165,0.111,"R2471"
8.540374756,0,"R1638"
8.478759766,0.108,"R487"
7.352722168,0.001,"R14820"
9.419631958,0.034,"R5158"
7.472412109,0,"R1169"
4.53125,0,"R2053"
9.069343567,0.054,"R3631"
9.00769043,0.042,"R2911"
5.393188477,0,"R749"
6.228378296,0.006,"R2211"
7.603744507,0.037,"R3180"
9.225128174,0.041,"R4751"
5.393188477,0,"R750"
5.563903809,0,"R1777"
9.320701599,0.055,"R4445"
6.763900757,0.002,"R2649"
8.478759766,0.108,"R488"
8.857192993,0.078,"R4582"
6.763900757,0.002,"R2650"
8.180488586,0.022,"R3309"
9.225128174,0.041,"R4752"
9.069343567,0.054,"R3632"
8.905521393,0.062,"R4300"
6.328765869,0.016,"R3445"
9.324394226,0.093,"R5245"
9.069343567,0.054,"R3633"
9.320701599,0.055,"R4446"
9.324394226,0.093,"R5246"
7.352722168,0.001,"R336"
6.328765869,0.016,"R3446"
9.324394226,0.093,"R5247"
6.328765869,0.016,"R3447"
8.905521393,0.062,"R4301"
4.53125,0,"R2054"
6.228378296,0.006,"R2212"
9.419631958,0.034,"R5159"
6.328765869,0.016,"R3448"
9.68737793,0.044,"R5379"
9.419631958,0.034,"R5160"
6.763900757,0.002,"R2651"
7.387664795,0.01,"R5019"
8.644691467,0.039,"R3761"
7.472412109,0,"R1170"
6.763900757,0.002,"R2652"
8.744140625,0.091,"R668"
9.419631958,0.034,"R5161"
9.419631958,0.034,"R5162"
6.393081665,0.007,"R2912"
7.352722168,0.001,"R337"
9.069343567,0.054,"R3634"
7.603744507,0.037,"R3181"
9.68737793,0.044,"R5380"
10.18450165,0.111,"R2472"
8.644691467,0.039,"R3762"
5.563903809,0,"R1778"
10.18450165,0.111,"R2473"
9.069343567,0.054,"R3635"
5.563903809,0,"R1779"
6.393081665,0.007,"R2913"
5.393188477,0,"R751"
8.905521393,0.062,"R4302"
5.563903809,0,"R1780"
7.603744507,0.037,"R3182"
8.540374756,0,"R1639"
6.501831055,0,"R669"
4.972381592,0,"R338"
6.501831055,0,"R670"
3.380859375,0,"R489"
8.454147339,0.042,"R5020"
6.501831055,0,"R671"
5.798187256,0,"R752"
5.263458252,0,"R14821"
8.840072632,0.121,"R5249"
8.850158691,0.039,"R4156"
8.079437256,0,"R1781"
3.389770508,0,"R1024"
7.07421875,0.098,"R101"
7.29788208,0.039,"R2778"
7.521911621,0.064,"R2653"
8.631267548,0.008,"R5164"
8.777679443,0.044,"R3449"
7.521911621,0.064,"R2654"
9.085105896,0.023,"R2477"
9.374523163,0.06,"R4583"
10.2903862,0.094,"R3763"
6.714416504,0,"R2340"
8.024353027,0.102,"R889"
8.024353027,0.102,"R890"
8.631267548,0.008,"R5165"
8.840072632,0.121,"R5250"
4.972381592,0,"R339"
6.031494141,0.001,"R2213"
8.230041504,0.031,"R3312"
8.079437256,0,"R1782"
5.172607422,0,"R1640"
8.024353027,0.102,"R891"
9.152133942,0.049,"R5381"
5.798187256,0,"R753"
9.152133942,0.049,"R5382"
7.105926514,0.003,"R1468"
8.850158691,0.039,"R4157"
4.972381592,0,"R340"
10.2903862,0.094,"R3764"
8.644546509,0.031,"R4449"
5.172607422,0,"R1641"
7.29788208,0.039,"R2779"
9.000114441,0.049,"R3900"
7.802986145,0.081,"R3066"
3.389770508,0,"R1025"
9.085105896,0.023,"R2478"
8.644546509,0.031,"R4450"
7.105926514,0.003,"R1469"
4.972381592,0,"R341"
9.374523163,0.06,"R4584"
8.777679443,0.044,"R3450"
8.079437256,0,"R1783"
4.931793213,0,"R1925"
8.230041504,0.031,"R3313"
6.031494141,0.001,"R2214"
10.2903862,0.094,"R3765"
3.389770508,0,"R1026"
3.389770508,0,"R1027"
8.857192993,0.078,"R4585"
6.714416504,0,"R2341"
7.399429321,0.051,"R3641"
10.2903862,0.094,"R3766"
3.380859375,0,"R490"
6.244842529,0,"R4303"
6.031494141,0.001,"R2215"
9.152133942,0.049,"R5383"
4.931793213,0,"R1926"
8.850158691,0.039,"R4158"
7.29788208,0.039,"R2780"
10.2903862,0.094,"R3767"
8.840072632,0.121,"R5251"
3.389770508,0,"R1028"
4.972381592,0,"R14822"
9.152133942,0.049,"R5384"
7.521911621,0.064,"R2655"
6.714416504,0,"R2342"
8.644546509,0.031,"R4451"
7.802986145,0.081,"R3067"
9.085105896,0.023,"R2479"
7.802986145,0.081,"R3068"
7.105926514,0.003,"R1470"
6.714416504,0,"R2343"
8.840072632,0.121,"R5252"
5.798187256,0,"R754"
4.972381592,0,"R342"
7.658691406,0.261,"R14823"
7.661376953,0,"R491"
7.399429321,0.051,"R3642"
9.374523163,0.06,"R4586"
5.780395508,0.025,"R2216"
6.244842529,0,"R4304"
9.152133942,0.049,"R5385"
9.152133942,0.049,"R5386"
8.454147339,0.042,"R5021"
8.313278198,0.053,"R4888"
6.031494141,0.001,"R2217"
8.454147339,0.042,"R5022"
7.29788208,0.039,"R2781"
8.850158691,0.039,"R4159"
6.714416504,0,"R2344"
9.152133942,0.049,"R5387"
8.024353027,0.102,"R892"
3.389770508,0,"R1029"
4.972381592,0,"R343"
7.521911621,0.064,"R2656"
10.2903862,0.094,"R3768"
8.454147339,0.042,"R5023"
8.079437256,0,"R1784"
8.868942261,0.093,"R2914"
8.777679443,0.044,"R3451"
4.931793213,0,"R1927"
3.380859375,0,"R492"
9.374523163,0.06,"R4587"
6.031494141,0.001,"R2218"
4.972381592,0,"R344"
8.313278198,0.053,"R4889"
7.521911621,0.064,"R2657"
3.380859375,0,"R493"
9.053833008,0.03,"R3183"
3.380859375,0,"R494"
8.631267548,0.008,"R14824"
8.079437256,0,"R1785"
7.29788208,0.039,"R2782"
6.244842529,0,"R4305"
8.92388916,0.124,"R14825"
8.313278198,0.053,"R4890"
9.085105896,0.023,"R2480"
8.454147339,0.042,"R5024"
